uid,domainID,siteID,namedLocation,date,eventID,sampleDepth,waterTemp,specificConductance,dissolvedOxygen,dissolvedOxygenSaturation,dataQF,publicationDate,release
3467f916-db87-4955-b636-21a2e4322251,D03,BARC,BARC.AOS.buoy.c0,2014-04-15T16:00Z,BARC.c0.20140415,1,24.8,60.3,,82.5,,20220107T003224Z,RELEASE-2022
0af91a73-5c92-4749-9ff9-8ad298b0a783,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T16:00Z,BARC.c0.20140603,3,28.6,58,,80,,20220107T003118Z,RELEASE-2022
f0680507-e67d-454f-bc4d-a6044e476a0e,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T16:00Z,BARC.c0.20140603,0.5,28.6,57.1,,87,,20220107T003118Z,RELEASE-2022
fa5d7cab-8cfb-4938-bf7d-525bcd6fc661,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T16:00Z,BARC.c0.20140603,4,28.6,58,,84,,20220107T003118Z,RELEASE-2022
c2808af9-cfc3-4ab1-a98a-d5d9a25bdf1f,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T16:00Z,BARC.c0.20140603,4.5,28.5,58,,86,,20220107T003118Z,RELEASE-2022
cd504623-9961-4ee2-a5d6-23dcd808c191,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T16:00Z,BARC.c0.20140603,1.5,28.7,57.6,,83,,20220107T003118Z,RELEASE-2022
c1e68c90-7aaf-42ca-a601-91161f2a96af,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T16:00Z,BARC.c0.20140603,2,28.7,57.9,,88,,20220107T003118Z,RELEASE-2022
bfc08dd5-adb3-419b-82ee-4e5edde76653,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T16:00Z,BARC.c0.20140603,3.5,28.6,58.1,,85,,20220107T003118Z,RELEASE-2022
8b764423-731f-4348-b99b-88f92352a5b6,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T16:00Z,BARC.c0.20140603,1,28.7,57.1,,85,,20220107T003118Z,RELEASE-2022
ff33a056-8a9e-41e7-9780-8575ae32ce1e,D03,BARC,BARC.AOS.buoy.c0,2014-06-03T16:00Z,BARC.c0.20140603,2.5,28.6,58,,84,,20220107T003118Z,RELEASE-2022
61304f11-0054-41ff-91ef-9604d3ed5836,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,5,31.9,57.5,,80,,20220107T003012Z,RELEASE-2022
86679859-1eb5-47be-b255-38d229d00216,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,2.5,31.9,57.5,,94,,20220107T003012Z,RELEASE-2022
839849cc-03fd-4b26-90ff-1dcc8b5ac7c6,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,2,31.9,57.6,,91,,20220107T003012Z,RELEASE-2022
dde04b16-c966-4031-a24d-d3b454650fa2,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,0.5,31.9,56.4,,87,,20220107T003012Z,RELEASE-2022
2fdd94f0-9e6d-4d39-8527-3977443eff87,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,3.5,31.9,57.5,,85,,20220107T003012Z,RELEASE-2022
1a19704b-f5a6-4c44-a7d1-47cabc96d7c9,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,1,31.9,57.1,,88,,20220107T003012Z,RELEASE-2022
a0e68cda-a3be-4aff-b20a-eadf91ff3604,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,4,31.9,57.5,,88,,20220107T003012Z,RELEASE-2022
e02b158d-5943-4a94-901e-4db70d6658af,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,3,31.9,57.5,,94,,20220107T003012Z,RELEASE-2022
dcd847be-06e4-4b50-bd4b-d3d7249b9ccd,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,1.5,31.9,57.5,,90,,20220107T003012Z,RELEASE-2022
635bb515-8bde-4d60-bce7-2363b6430462,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,BARC.c0.20140702,4.5,31.9,57.5,,89,,20220107T003012Z,RELEASE-2022
b83f7b50-a668-4d79-8455-10305c56ad51,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T16:00Z,BARC.c0.20140730,2,32,56.8,,81,,20220107T003012Z,RELEASE-2022
