CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,source_labmethodid,source_labmethodname,USGSPCode,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ActivityStartTime.Time,ActivityEndDate,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,source_samplesiteid,ActivityCommentText,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,ResultSampleFractionText,datavalue,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,source_labmethoddescription,ResultLaboratoryCommentText,source_qualifier,DetectionQuantitationLimitMeasure.MeasureValue,ProviderName,ActivityStartDateTime,ActivityEndDateTime,Obs_Id,State,Id_num,wqp_monitoringlocationname,wqp_providername,lagoslakeid,source_parameter,source_value,source_unit,detectionlimit_legacy,detectionlimit_unit_legacy,Conversion,Conversion_dl,Notes,sampledate,source_sampledepth,variableid_lagos,limit_low,limit_high,variableshortname,source_sampleposition,lagos_sampledepth,lagos_sampleposition
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1980-0006161-1980,Sample,1980-05-20,15:10:00,NA,14.325600000000001,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-C2030000,X-sec location horizontal: 50.0% from R bank facing upstream¶1 sampling points in cross section,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,32000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,32000,STORET,NA,NA,NC-896225,NC,896225,LAKE RHODHISS AT SR 1001 NR BATON MARION,STORET,162292,Mercury,32,ug/l,NA,NA,1000,1000,methods_unknown,1980-05-20,14.325600000000001,46,-1000,50000000,t_hg_ngl,SPECIFIED,14.325600000000001,SPECIFIED
"Mercury, total",ng/l,NA,21NC01WQ UNKNOWN,NA,NA,21NC01WQ,NCDENR-DWQ,21NC01WQ-1981-0012549-1981,Sample,1981-08-06,17:31:00,NA,2.4384,m,NA,NA,NA,NA,NA,NCLEGACY,NA,21NC01WQ-N6900000,NA,LEGACY,LEGACY,LEGACY,Unknown,NA,Total,13000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,21NC01WQ,NA,NA,NA,13000,STORET,NA,NA,NC-838982,NC,838982,LAKE GASTON NR SUMMIT INACT 820715,STORET,150207,Mercury,13,ug/l,NA,NA,1000,1000,methods_unknown,1981-08-06,2.4384,46,-1000,50000000,t_hg_ngl,SPECIFIED,2.4384,SPECIFIED
"Mercury, total",ng/l,ng/l,USEPA 200.7(W),NA,NA,21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-5056-011988,Sample,1988-01-12,00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,AMB,NA,21FLORAN-LE31,NA,SP-001,SP-001,SP-001,Unknown,NA,Total,25000000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7(W),USEPA,NA,NA,NA,25000000,STORET,NA,NA,FL-4496381,FL,4496381,Underhill,STORET,199921,Mercury,25,mg/l,2e-4,mg/l,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,1988-01-12,NA,46,-1000,50000000,t_hg_ngl,UNKNOWN,NA,UNKNOWN
"Mercury, total",ng/l,ng/l,USEPA 200.7(W),NA,NA,21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-6612-031991,Sample,1991-03-11,00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,AMB,NA,21FLORAN-LW28,NA,SP-001,SP-001,SP-001,Unknown,NA,Total,200000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7(W),USEPA,NA,NA,NA,200000,STORET,NA,NA,FL-4034863,FL,4034863,Fairview N,STORET,187064,Mercury,0.2,mg/l,2e-4,mg/l,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,1991-03-11,NA,46,-1000,50000000,t_hg_ngl,UNKNOWN,NA,UNKNOWN
"Mercury, total",ng/l,ng/l,USEPA 200.7(W),NA,NA,21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-6661-031991,Sample,1991-03-11,00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,AMB,NA,21FLORAN-LW29,NA,SP-001,SP-001,SP-001,Unknown,NA,Total,200000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7(W),USEPA,NA,NA,NA,200000,STORET,NA,NA,FL-4739845,FL,4739845,Fairview S,STORET,187064,Mercury,0.2,mg/l,2e-4,mg/l,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,1991-03-11,NA,46,-1000,50000000,t_hg_ngl,UNKNOWN,NA,UNKNOWN
"Mercury, total",ng/l,ng/l,USEPA 200.7(W),NA,NA,21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-6837-061991,Sample,1991-06-26,00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,AMB,NA,21FLORAN-LW10S,NA,SP-001,SP-001,SP-001,Unknown,NA,Total,200000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7(W),USEPA,NA,NA,NA,200000,STORET,NA,NA,FL-3893801,FL,3893801,Lawne S,STORET,188104,Mercury,0.2,mg/l,2e-4,mg/l,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,1991-06-26,NA,46,-1000,50000000,t_hg_ngl,UNKNOWN,NA,UNKNOWN
"Mercury, total",ng/l,ng/l,USEPA 200.7(W),NA,NA,21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-6838-071991,Sample,1991-07-17,00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,AMB,NA,21FLORAN-LW10S,NA,SP-001,SP-001,SP-001,Unknown,NA,Total,200000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7(W),USEPA,NA,NA,NA,200000,STORET,NA,NA,FL-5031347,FL,5031347,Lawne S,STORET,188104,Mercury,0.2,mg/l,2e-4,mg/l,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,1991-07-17,NA,46,-1000,50000000,t_hg_ngl,UNKNOWN,NA,UNKNOWN
"Mercury, total",ng/l,ng/l,USEPA 200.7(W),NA,NA,21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-6450-071991,Sample,1991-07-23,00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,AMB,NA,21FLORAN-HB11,NA,SP-001,SP-001,SP-001,Unknown,NA,Total,200000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7(W),USEPA,NA,NA,NA,200000,STORET,NA,NA,FL-4720126,FL,4720126,Formosa,STORET,192520,Mercury,0.2,mg/l,2e-4,mg/l,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,1991-07-23,NA,46,-1000,50000000,t_hg_ngl,UNKNOWN,NA,UNKNOWN
"Mercury, total",ng/l,ng/l,USEPA 200.7(W),NA,NA,21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-7253-071991,Sample,1991-07-23,00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,AMB,NA,21FLORAN-HB34,NA,SP-001,SP-001,SP-001,Unknown,NA,Total,200000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7(W),USEPA,NA,NA,NA,200000,STORET,NA,NA,FL-4261433,FL,4261433,Rowena,STORET,192522,Mercury,0.2,mg/l,2e-4,mg/l,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,1991-07-23,NA,46,-1000,50000000,t_hg_ngl,UNKNOWN,NA,UNKNOWN
"Mercury, total",ng/l,ng/l,USEPA 200.7(W),NA,NA,21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-6573-071991,Sample,1991-07-23,00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,AMB,NA,21FLORAN-HB36,NA,SP-001,SP-001,SP-001,Unknown,NA,Total,200000,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.7(W),USEPA,NA,NA,NA,200000,STORET,NA,NA,FL-4723923,FL,4723923,Sue,STORET,187119,Mercury,0.2,mg/l,2e-4,mg/l,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry,1991-07-23,NA,46,-1000,50000000,t_hg_ngl,UNKNOWN,NA,UNKNOWN
