parameter_id,parameter_name_short,parameter_longname,parameter_theme,parameter_wqp_characteristic_names,parameter_lowerlimit,parameter_upperlimit,parameter_units_name,parameter_units_abbrev,parameter_units_type,,,parameter_units_id,[OLD-DELETE],,,,,
31,sio2_mgl,"Silica, dissolved",nutrients_algae,,-10,100,milligrams per liter,mgL,concentration,,,10,si_mgl,,,,,
32,na_mgl,Sodium,chemical_physical,,-10,15000,milligrams per liter,mgL,concentration,,,10,na_mgl,,,,,
33,tss_mgl,"Solids, total suspended",clarity_carbon,,-10,5000,milligrams per liter,mgL,concentration,,,10,tss_mgl,,,,,
34,so4_mgl,"Sulfate, dissolved",chemical_physical,,-10,10000,milligrams per liter,mgL,concentration,,,10,so4_mgl,,,,,Is this OK?
35,temp_degc,Temperature,chemical_physical,,-10,100,degree celsius,degC,temperature,,,25,temp_degc,,,,,
36,turb_ntu,Turbidity,clarity_carbon,,0,2000,nephelometric turbidity units,NTU,operational,,,27,turb_ntu,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,do_mgl,,,,,
,,chem/phis,alk_ueql;ca_mgl;cl_mgl;spcond_uscm;do_mgl;mg_mgl;ph_eq;ph_field;salinity_mgl;so4_mgl;temp_degc,,,,,,,,,,ph,,,,,
,,clarity_carbon,colora_pcu;colort_pcu;doc_mgl;secchi_m;turb_mgl,,,,,,,,,,temp_degc,,,,,
,,contaminants,al_tot_ugl;al_diss_ugl;as_tot_ugl;as_diss_ugl;atz_tot_ugl;atz_diss_ugl;ecoli_cfu100ml;ecoli_mpn100ml;hg_tot_ngl;hg_totdiss_ngl;mehg_tot_ngl;se_tot_ugl;se_diss_ugl,,,,,,,,,,chla_ugl,,,,,
,,nutrients_algae,chla_ugl;microsystin_ugl;no2no3n_ugl;nh4n_ugl;tkn_ugl;tn_ugl;ton_ugl;tp_ugl;tdp_ugl;srpp_ugl,,,,,,,,,,spcond_uscm,,,,,
,,,,,,,,,,,,,dip_ugl,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,DELETED,ANC,chemical_physical,,-1000,1000,microequivalents per liter,ueqL,concentration,,,13,anc_ueql,,,,,
20,ton_ugl  NOT IN THE DATA,"Nitrogen, total organic",nutrients_algae,,-1000,100000,micrograms per liter,ugL,concentration,,,11,ton_ugl,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,COMBINE: Would be good to combine with alk; we are now using mg/l as caco3.
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,> max_t,,,,,,,,,,,,,,,,,
,varname n_strlen,,,,,,,,,,,,,,,,,
,1                                        param_name       15,,,,,,,,,,,,,,,,,
,2                                CharacteristicName       66,,,,,,,,,,,,,,,,,
,3                     ResultMeasure.MeasureUnitCode       10,,,,,,,,,,,,,,,,,
,4 DetectionQuantitationLimitMeasure.MeasureUnitCode       10,,,,,,,,,,,,,,,,,
,5                                         Method_Id       34,,,,,,,,,,,,,,,,,
,6                 ResultAnalyticalMethod.MethodName      120,,,,,,,,,,,,,,,,,
,7                                             Notes      210,,,,,,,,,,,,,,,,,
