OrganizationFormalName,MonitoringLocationIdentifier,sampledate,lagos_sampledepth,"Nitrogen, NH4","Nitrogen, dissolved Kjeldahl","Nitrogen, total","Nitrogen, total Kjeldahl","Arsenic, dissolved","Arsenic, total","Phosphorus, soluble reactive orthophosphate","Phosphorus, total","Nitrogen, nitrite (NO2) + nitrate (NO3)","Carbon, dissolved organic","Carbon, total organic","Nitrogen, total dissolved","Selenium, dissolved","Selenium, total","Aluminum, dissolved","Aluminum, total","Mercury, total dissolved","Mercury, total"
USGS Wyoming Water Science Center,USGS-06323102,1977-08-03,0,NA,1100,550,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Wyoming Water Science Center,USGS-06323102,1977-08-03,16.764,NA,1500,710,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Wyoming Water Science Center,USGS-06323103,1977-08-03,7.9248,NA,1000,480,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Connecticut Water Science Center,USGS-414144073222400,1977-08-04,0.48768000000000006,1600,NA,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-12301830,1977-08-29,64.00800000000001,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-12301919,1977-08-31,0.45720000000000005,NA,NA,NA,NA,NA,NA,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-12301919,1977-08-31,79.248,NA,NA,NA,NA,NA,NA,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-404550122165000,1977-09-27,21.945600000000002,NA,NA,50,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-404550122165000,1977-09-27,38.1,NA,NA,110,NA,NA,NA,169.5928,60,520,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-12301830,1977-10-11,3.048,NA,NA,NA,NA,NA,NA,19.568399999999997,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-12301919,1977-10-12,0.45720000000000005,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-345530095341501,1978-05-31,6.4008,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5.3,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-12300110,1978-06-29,0.45720000000000005,NA,NA,40,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Wyoming Water Science Center,USGS-06630350,1978-08-10,9.144,NA,NA,NA,NA,NA,NA,68.48939999999999,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Wyoming Water Science Center,USGS-06635100,1978-08-10,0,NA,NA,NA,NA,NA,NA,250,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Wyoming Water Science Center,USGS-06635100,1978-08-10,9.144,NA,NA,NA,NA,NA,NA,320,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Wyoming Water Science Center,USGS-06635100,1978-08-10,20.7264,NA,NA,NA,NA,NA,NA,160,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Wyoming Water Science Center,USGS-06635500,1978-08-10,9.144,NA,NA,NA,NA,NA,NA,110.8876,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-350131095355201,1978-08-24,0.9144000000000001,NA,NA,1100,NA,3,2,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-350244095392701,1978-08-24,0.9144000000000001,NA,1100,780,580,NA,NA,NA,NA,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-350244095392701,1978-08-24,5.486400000000001,NA,1000,2500,630,NA,NA,NA,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Wyoming Water Science Center,USGS-06635500,1978-08-25,6.096,NA,1800,390,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-350131095355201,1978-09-28,0.6096,NA,NA,2500,NA,NA,NA,NA,NA,8300,NA,NA,9100,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-383048122061601,1978-10-04,15,NA,NA,NA,NA,NA,NA,19.568399999999997,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-383332122122401,1978-10-05,15,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-383046122122901,1978-10-06,18,NA,NA,NA,NA,NA,NA,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085500,1978-10-18,6.096,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-350046095385301,1978-10-26,0.9144000000000001,NA,810,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-350101095354501,1978-10-26,0.3048,NA,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
