,NAMES,SITE_ID,LAT_DD,LON_DD
92,$Unknown$,NLA06608-0078,48.17782,-100.29425
93,Trappers Lake$Trappers Lake$,NLA06608-0079,39.98689,-107.23093
94,Trappers Lake$Trappers Lake$,NLA06608-0079,39.98796,-107.23036
95,Hannaberry Lake$Hannaberry Lake$,NLA06608-0080,34.11771,-91.55416
96,Hannaberry Lake$Hannaberry Lake$,NLA06608-0080,34.11858,-91.55648
97,Sunday Lake$Armstrong Lake$,NLA06608-0081,48.225298,-122.122999
98,Sunday Lake$Armstrong Lake$,NLA06608-0081,48.225327,-122.123175
99,$Camp Lake$,NLA06608-0083,45.9513,-99.13453
100,$Blacks Creek Reservoir$,NLA06608-0085,43.46128,-116.14376
101,$Blacks Creek Reservoir$,NLA06608-0085,43.46104,-116.143
102,Lacamas Lake$Lacamas Lake$,NLA06608-0086,45.61784,-122.42934
103,Lacamas Lake$Lacamas Lake$,NLA06608-0086,45.620509,-122.432062
104,Rhodhiss Lake$Rhodhiss$,NLA06608-0089,35.773211,-81.440422
105,Rhodhiss Lake$Rhodhiss$,NLA06608-0089,35.78325,-81.47594
106,Black Lake$Black Lake$,NLA06608-0090,42.930648,-109.654222
107,Black Lake$Black Lake$,NLA06608-0090,42.93068,-109.65305
108,Cedar Lake$Cedar Lake$,NLA06608-0091,41.374167,-87.43222
109,Oconomowoc Lake$Lake Oconomowoc$,NLA06608-0099,43.0975,-88.461111
110,Riga Lake$Riga Lake$,NLA06608-0101,42.02179,-73.48186
111,Howard Pond$HOWARD POND$,NLA06608-0102,44.505296,-70.72065
112,Kingman County State Lake$Kingman County State Lake$,NLA06608-0104,37.65649,-98.25871
113,Kingman County State Lake$Kingman County State Lake$,NLA06608-0104,37.65549,-98.2596
114,Piute Reservoir$Piute Reservoir$,NLA06608-0105,38.288034,-112.207424
115,Cheeseboro Lake$Cheeseboro Lake$,NLA06608-0107,41.65,-85.08222
116,Pickerel Lake$Pickerel$,NLA06608-0110,46.87083,-95.72909
117,$West Branch Reservoir (AKA M.J.Kirwan Reservoir)$,NLA06608-0111,41.15006,-81.09237
118,Vandalia Lake$Lake Vandalia$,NLA06608-0112,39.01183,-89.12983
119,"Parker, Lake$Lake Parker$",NLA06608-0113,44.7175,-72.229722
120,Marl Lake$Marl Lake$,NLA06608-0115,44.323611,-89.191667
121,$Cochiti Lake$,NLA06608-0116,35.62036,-106.31097
122,Keystone Reservoir$Keystone$,NLA06608-0120,36.15501,-96.26522
123,Keystone Reservoir$Keystone$,NLA06608-0120,36.15507,-96.26556
124,North Twin Lake$North Twin Lake$,NLA06608-0124,42.14036,-101.80836
125,$Unnamed Lake$,NLA06608-0126,47.18729,-99.32296
126,Becker Lake$Becker Lake$,NLA06608-0127,34.152566,-109.307102
127,Twin Reservoir$Twin Reservoir$,NLA06608-0128,48.749,-109.2395
128,Twin Reservoir$Twin Reservoir$,NLA06608-0128,48.75352,-109.24924
129,Ashley Lake$Ashley Lake$,NLA06608-0129,48.20432,-114.6196
130,Ashley Lake$Ashley Lake$,NLA06608-0129,48.21164,-114.61656
131,Pe?a Blanca Lake$Pena Blanca Lake$,NLA06608-0130,31.405332,-111.086251
132,Wheatfields Lake$Wheatfields Lake$,NLA06608-0132,36.207264,-109.094163
133,West Hill Pond$West Hill Pond$,NLA06608-0134,41.87657,-73.04256
134,Upper Twin Lakes at Bridgeport$Upper Twin Lakes$,NLA06608-0137,38.15084,-119.36214
135,Palestine Lake$Palestine Lake$,NLA06608-0139,41.1715,-85.941
136,Clear Creek Lake$Clear Creek Lake$,NLA06608-0140,39.63558,-95.45996
137,Noxontown Pond$Noxontown Pond$,NLA06608-0141,39.42367,-75.68708
138,$Plum Lake$,NLA06608-0142,45.999722,-89.528889
139,$Miller Creek Reservoir$,NLA06608-0144,33.41937,-99.37269
140,$Miller Creek Reservoir$,NLA06608-0144,33.42132,-99.37075
141,$Princes East$,NLA06608-0148,39.348,-86.10167
142,"Nephawin, Lake$Lake Nephawin$",NLA06608-0149,41.633333,-76.840278
143,Sebasticook Lake$Sebasticook Lake$,NLA06608-0150,44.8675,-69.234444
144,Lake Fuqua$Fuqua$,NLA06608-0152,34.60399,-97.677
145,Spring Creek Lake$Spring Creek$,NLA06608-0153,37.21395,-78.61884
146,Long Lake$Long Lake$,NLA06608-0155,42.37637,-88.12599
147,Blueberry Lake$Blueberry Lake$,NLA06608-0158,45.88566,-91.24897
148,"Tarpon, Lake$Lake Tarpon$",NLA06608-0161,28.115193,-82.729773
149,Sip Pond$Sip Pond$,NLA06608-0162,42.733056,-72.102778
150,South Lake$South Lake$,NLA06608-0167,44.94283,-94.03497
151,South Lake$South Lake$,NLA06608-0167,44.94202,-94.03545
152,Elm Creek Lake$Elm Creek Lake$,NLA06608-0168,37.75711,-94.85423
153,$Forsyth Reservoir$,NLA06608-0169,38.520197,-111.530736
154,$Forsyth Reservoir$,NLA06608-0169,38.521921,-111.531292
155,Tallman Lake$Tallman Lake$,NLA06608-0170,43.99153,-86.10782
156,$Ramer Lake$,NLA06608-0173,33.078238,-115.510706
157,Pebble Lake$Pebble Lake$,NLA06608-0174,46.25191,-96.03529
158,Pebble Lake$Pebble Lake$,NLA06608-0174,46.25217,-96.03619
159,Lake Lakengren$Lake Lakengren$,NLA06608-0175,39.688423,-84.686731
160,Blackfish Lake$Blackfish Lake$,NLA06608-0176,35.13336,-90.45391
161,Silver Lake$Silver$,NLA06608-0177,43.89833,-73.053333
162,$$,NLA06608-0179,44.36405,-101.05303
163,$$,NLA06608-0179,44.36397,-101.05266
164,Lake Frederick$Frederick Lake$,NLA06608-0180,34.52772,-98.88272
165,June Lake$June Lake$,NLA06608-0181,37.78793,-119.07026
166,Wapogasset Lake$Wapogasset Lake$,NLA06608-0183,45.326111,-92.419722
167,$Heritage Park Lake$,NLA06608-0184,38.83376,-94.74848
168,Lake Naomi$Lake Naomi$,NLA06608-0185,41.11194,-75.4575
169,$Middle Wheeling Creek$,NLA06608-0189,40.03041,-80.57854
170,$Middle Wheeling Creek$,NLA06608-0189,40.03048,-80.57852
171,Upper Hatch Lake$Upper Hatch$,NLA06608-0190,47.67268,-93.75956
172,Nantahala Lake$Lake Natahala$,NLA06608-0191,35.16604,-83.66223
173,Gorge Lake$Gorge$,NLA06608-0193,48.713567,-121.155307
174,$$,NLA06608-0195,46.888889,-99.0875
175,$MD Borah Lake$,NLA06608-0196,38.77505,-88.06881
176,Hinckleys Pond$Hinkley's Pond$,NLA06608-0198,41.71325,-70.089643
177,French Meadows Reservoir$French Meadows Reservoir$,NLA06608-0201,39.10952,-120.43717
178,$Lewis Smith Reservoir$,NLA06608-0203,33.96683,-87.12711
179,$Turkey Creek Site 6 Reservoir$,NLA06608-0204,35.42553,-99.23938
180,Mahaffey Lake$Mahaffey Lake$,NLA06608-0207,32.60341,-84.8179
181,Mahaffey Lake$Mahaffey Lake$,NLA06608-0207,32.60346,-84.81803
182,Lake Hogue$Lake Hogue$,NLA06608-0208,35.58721,-90.96453
183,"Sammamish, Lake$Lake Sammamish$",NLA06608-0209,47.576139,-122.082704
184,"Sammamish, Lake$Lake Sammamish$",NLA06608-0209,47.576519,-122.085623
185,Allen Lake$Allen Lake$,NLA06608-0211,47.46532,-95.77022
186,Nest Lake$Nest Lake$,NLA06608-0215,45.2589,-94.96179
187,$Cedar Creek Lake$,NLA06608-0216,40.32843,-96.53174
188,Lake Orange$Lake Orange$,NLA06608-0217,36.15246,-79.14693
189,Skinner Lake$Skinner Lake$,NLA06608-0219,41.403889,-85.3775
190,East Twin Lake$East Twin Lake$,NLA06608-0220,42.50433,-100.53101
191,Jolly Pond$Jolly Pond$,NLA06608-0221,37.30012,-76.81998
192,Tioga Dam$Tioga Dam$,NLA06608-0222,48.408042,-102.9358
193,Swan Lake$Swan Lake$,NLA06608-0223,33.58189,-84.2043
194,Swan Lake$Swan Lake$,NLA06608-0223,33.58224,-84.20436
195,$Lake Hanna$,NLA06608-0224,37.64975,-90.58316
196,$Lake Hanna$,NLA06608-0224,37.65008,-90.58307
197,Nilan Reservoir$Nilan Reservoir$,NLA06608-0225,47.4752,-112.52525
198,Nilan Reservoir$Nilan Reservoir$,NLA06608-0225,47.47548,-112.52485
199,$Voydatch Pond$,NLA06608-0226,43.20072,-71.24758
200,Holbrook Reservoir$Holbrook Reservoir$,NLA06608-0228,38.0627,-103.60727
201,Holbrook Reservoir$Holbrook Reservoir$,NLA06608-0228,38.0611,-103.60954
202,Park Lake$Long Lake$,NLA06608-0229,44.07787,-74.32986
203,Pine Lake$Pine Lake$,NLA06608-0234,42.72002,-85.46647
204,James Lake$Tippecanoe Lake$,NLA06608-0235,41.333611,-85.776667
205,Dacey Reservoir$Dacey Reservoir Lower$,NLA06608-0237,38.39154,-115.11607
206,Dacey Reservoir$Dacey Reservoir Lower$,NLA06608-0237,38.39022,-115.11578
207,Pelican Lake$Pelican Lake$,NLA06608-0238,46.54872,-94.19182
208,Nickajack Reservoir$Nickajack Lake$,NLA06608-0239,35.091273,-85.39441
209,Nelson Reservoir$Nelson Reservoir$,NLA06608-0240,48.50165,-107.54056
210,Oneida Narrows Reservoir$Oneida Narrows$,NLA06608-0241,42.3015,-111.71743
211,Pachaug Pond$Pachaug Pond$,NLA06608-0242,41.570716,-71.918253
212,$Lake Oahe$,NLA06608-0243,45.03851,-100.28191
213,Lake Kemp$Lake Kemp$,NLA06608-0244,33.747642,-99.192778
214,Lake Curry$Lake Curry$,NLA06608-0245,38.361956,-122.126126
215,Wall Lake$Wall Lake$,NLA06608-0247,43.53449,-96.96036
216,H Z Smith Lake$HZ Smith Lake$,NLA06608-0253,32.47679,-81.83098
217,Twin Lakes$Twin Lakes$,NLA06608-0254,47.96546,-99.09451
218,Wonder Lake$Wonder Lake$,NLA06608-0255,35.949525,-85.32053
219,Koocanusa Reservoir$Koocanusa Reservoir$,NLA06608-0257,48.47723,-115.28041
220,$$,NLA06608-0259,46.3755,-98.99397
221,Heron Reservoir$Heron Reservoir$,NLA06608-0260,36.66814,-106.70556
222,Okemah Lake$Okemah Lake$,NLA06608-0268,35.52349,-96.32333
223,Lucys Pond$Lucys Pond$,NLA06608-0271,40.49015,-83.88977
224,$Mud Lake$,NLA06608-0275,46.26878,-99.37969
225,McReynolds Reservoir$McReynolds Reservoir$,NLA06608-0276,38.77967,-105.00489
226,$Lake Walcott$,NLA06608-0277,42.67367,-113.41209
227,$North Eagle$,NLA06608-0279,44.20502,-93.89336
228,$McElvaney Lake$,NLA06608-0280,32.08872,-95.89423
229,Lake Fisher$Lake Fisher$,NLA06608-0281,35.49599,-80.57372
230,$Lake Demopolis$,NLA06608-0283,32.53142,-87.85125
231,$$,NLA06608-0284,34.91516,-98.72829
232,Records Pond$Records Pond$,NLA06608-0285,38.55812,-75.55843
233,Silver Lake$Silver Lake$,NLA06608-0286,46.14884,-88.83236
234,Junipers Reservoir$Junipers Reservoir$,NLA06608-0290,42.19868,-120.52393
235,Junipers Reservoir$Junipers Reservoir$,NLA06608-0290,42.19625,-120.52402
236,Green Lake$Green Lake$,NLA06608-0291,43.819722,-88.975
237,$Lake Kenosia$,NLA06608-0293,41.383315,-73.501541
238,"Derby, Lake$Derby Lake$",NLA06608-0294,44.958889,-72.119167
239,$Long Lake$,NLA06608-0295,45.1721,-97.63898
240,$Boatwright Farm Pond$,NLA06608-0297,33.841,-81.67238
241,Round Lake$Round Lake$,NLA06608-0299,41.462778,-85.248611
242,$$,NLA06608-0302,45.91772,-97.02486
243,Holiday Lake$Holiday Lake$,NLA06608-0303,41.092,-82.7306
244,$Moon Reservoir$,NLA06608-0306,43.42061,-119.41418
245,$$,NLA06608-0312,38.82255,-95.54702
246,$City Lake$,NLA06608-0313,34.88565,-79.68986
247,Lost Lake$Lost Lake$,NLA06608-0318,47.45884,-92.443056
248,$Coneross Creek Reservoir$,NLA06608-0319,34.72389,-83.10901
249,Lake Bonaventure$Lake Bonaventure$,NLA06608-0324,36.94411,-82.20327
250,Lawne Lake$Lawne Lake$,NLA06608-0325,28.563462,-81.437692
251,Groton Reservoir$Groton Reservoir$,NLA06608-0326,41.35785,-72.03902
252,Thornburg Lake$Thornburg Lake$,NLA06608-0327,31.71572,-91.365556
253,Cross Lake$Cross Lake$,NLA06608-0328,32.50449,-93.81393
254,Cross Lake$Cross Lake$,NLA06608-0328,32.50397,-93.83525
255,$Lake Besser$,NLA06608-0330,45.07174,-83.44798
256,Tenkiller Ferry Lake$Tenkiller Ferry Lake$,NLA06608-0332,35.660854,-94.987591
257,$Round Valley Reservoir$,NLA06608-0333,40.628333,-74.849722
258,Buffalo Lodge Lake$Buffalo Lodge Lake$,NLA06608-0334,48.331996,-100.756616
259,Cranberry Lake$Cranberry$,NLA06608-0337,48.396322,-122.656137
260,$$,NLA06608-0339,46.11454,-99.42216
261,$Nichols Reservoir$,NLA06608-0340,35.69029,-105.87904
262,Oneida Lake$Oneida Lake$,NLA06608-0341,43.1807,-75.9243
263,"Alice, Lake$Lake Alice$",NLA06608-0343,44.3817,-96.6357
264,Branched Oak$Branched Oak Lake$,NLA06608-0344,40.97048,-96.86155
265,$Lake Lanier$,NLA06608-0345,36.65829,-79.84488
266,Price Lake$Price Lake$,NLA06608-0350,45.763056,-90.625833
267,Haynes Reservoir$Haynes Reservoir$,NLA06608-0354,42.514251,-71.803891
268,Number Twelve Lake$Lake Number Twelve$,NLA06608-0356,36.56034,-104.595526
269,Buckley Dunton Lake$Buckley-Dunton$,NLA06608-0357,42.312515,-73.132796
270,$Little Greenough Pond$,NLA06608-0358,44.84019,-71.13403
271,Big Stone Lake$Big Stone Lake$,NLA06608-0359,45.40997,-96.66931
272,Lake Wylie (Lake Catawba)$Lake Wylie$,NLA06608-0361,35.06733,-81.06194
273,Long Lake$Palmer Lake$,NLA06608-0363,41.94386,-85.31633
274,$Straight Lake$,NLA06608-0366,46.95491,-95.2802
275,$La Due Reservoir$,NLA06608-0367,41.39141,-81.19686
276,Caspian Lake$Caspian Lake$,NLA06608-0369,44.582663,-72.30475
277,Brush Hollow Reservoir$Brush Hollow Reservoir$,NLA06608-0372,38.4596,-105.05207
278,Lake Arrowhead$Lake Arrowhead$,NLA06608-0373,34.262786,-117.174264
279,$Skiatook Lake$,NLA06608-0376,36.34481,-96.10893
280,$Sunbury WS #5$,NLA06608-0377,40.8625,-76.775
281,Willow Creek Reservoir$Willow Creek Reservoir$,NLA06608-0378,47.55001,-112.42943
