OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,sampledate,ActivityEndDate,sampledepth_m_legacy,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,samplesiteid_legacy,comments_legacy,ActivityCommentText,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,datavalue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,labmethodname_legacy,labmethodinfo_legacy,LaboratoryName,ResultLaboratoryCommentText,qualifier_legacy,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,ProviderName,ActivityStartDateTime,ActivityEndDateTime,obs_id,source_parameter,source_value,source_unit,detectionlimit_legacy,detectionlimit_unit_legacy,sampleposition_legacy,sampletype_legacy,sampledepth_m_lagos,samplelayer_lagos,sampletype_lagos
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MIDN_PETE_07_20100706132002_01,Field Msr/Obs,2010-07-06,NA,NA,m,NA,NA,NA,NA,NA,MIDN_PETE_WQ,NA,11NPSWRD_WQX-MIDN_PETE_07,   Meter Serial #: 09H100385  Organization ActivityID=MIDN_PETE_07_20100706132002,Meter Serial #: 09H100385  Organization ActivityID=MIDN_PETE_07_20100706132002,NA,NA,NA,NA,NA,Depth,NA,0.6096,m,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIDN_UVA_STREAMDEPTH,11NPSWRD_WQX,Measure stream depth,NA,NA,NA,NA,NA,NA,STORET,2010-07-06 17:20:00,NA,490309,Depth,60.96,cm,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MIDN_PETE_07_20100609161002_01,Field Msr/Obs,2010-06-09,NA,NA,m,NA,NA,NA,NA,NA,MIDN_PETE_WQ,NA,11NPSWRD_WQX-MIDN_PETE_07,   Meter Serial #: 094100385  Organization ActivityID=MIDN_PETE_07_20100609161002,Meter Serial #: 094100385  Organization ActivityID=MIDN_PETE_07_20100609161002,NA,NA,NA,NA,NA,Depth,NA,0.9144,m,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIDN_UVA_STREAMDEPTH,11NPSWRD_WQX,Measure stream depth,NA,NA,NA,NA,NA,NA,STORET,2010-06-09 20:10:00,NA,493320,Depth,91.44,cm,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MIDN_PETE_07_20100810120001_01,Field Msr/Obs,2010-08-10,NA,NA,m,NA,NA,NA,NA,NA,MIDN_PETE_WQ,NA,11NPSWRD_WQX-MIDN_PETE_07,   Meter Serial #: 094100385  Organization ActivityID=MIDN_PETE_07_20100810120001,Meter Serial #: 094100385  Organization ActivityID=MIDN_PETE_07_20100810120001,NA,NA,NA,NA,NA,Depth,NA,0.9144,m,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIDN_UVA_STREAMDEPTH,11NPSWRD_WQX,Measure stream depth,NA,NA,NA,NA,NA,NA,STORET,2010-08-10 16:00:00,NA,498875,Depth,91.44,cm,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701751,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,9.99,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-07-09 15:45:00,NA,489802,Calcium,9.99,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900601,Sample-Routine,2009-07-07,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660020,   A-1910144 Bottom (Bed) Material,A-1910144 Bottom (Bed) Material,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,3.05,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-07-07 14:30:00,NA,490604,Calcium,3.05,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400981,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660470,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,1.86,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,Estimated Detection Level,0.01,mg/l,NWIS,2004-09-14 13:35:00,NA,491179,Calcium,1.86,mg/l,0.01,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702135,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,10.2,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-08-13 18:10:00,NA,491207,Calcium,10.2,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900315,Sample-Routine,2009-03-24,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01659700,"   L-0860010 Received March 26, 2009","L-0860010 Received March 26, 2009",USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.53,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-03-24 15:20:00,NA,491351,Calcium,2.53,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701753,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,10.8,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-07-09 16:15:00,NA,492430,Calcium,10.8,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702131,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,10.2,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-08-13 16:30:00,NA,493165,Calcium,10.2,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900452,Sample-Routine,2009-05-05,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660020,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.71,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-05-05 18:10:00,NA,493348,Calcium,2.71,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900573,Sample-Routine,2009-06-23,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660020,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.97,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-06-23 15:05:00,NA,493520,Calcium,2.97,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900458,Sample-Routine,2009-04-16,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01659700,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.74,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-04-16 14:40:00,NA,494889,Calcium,2.74,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400983,Sample-Routine,2004-09-15,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660489,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,1.86,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,Estimated Detection Level,0.01,mg/l,NWIS,2004-09-15 14:00:00,NA,495234,Calcium,1.86,mg/l,0.01,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701752,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,9.74,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-07-09 15:50:00,NA,495853,Calcium,9.74,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900459,Sample-Routine,2009-04-16,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660020,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.79,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-04-16 14:15:00,NA,496105,Calcium,2.79,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701754,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,8.39,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-07-09 16:20:00,NA,497265,Calcium,8.39,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900576,Sample-Routine,2009-06-23,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660030,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.98,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-06-23 14:25:00,NA,498055,Calcium,2.98,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900314,Sample-Routine,2009-03-24,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660020,"   L-0860008 Received March 26, 2009","L-0860008 Received March 26, 2009",USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.65,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-03-24 14:50:00,NA,498212,Calcium,2.65,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701750,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,8.69,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-07-09 15:30:00,NA,499783,Calcium,8.69,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900451,Sample-Routine,2009-05-05,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01659700,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.64,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-05-05 18:35:00,NA,499922,Calcium,2.64,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900388,Sample-Routine,2009-03-24,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660030,"   L-0860009 Received March 26, 2009","L-0860009 Received March 26, 2009",USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.69,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-03-24 14:20:00,NA,500436,Calcium,2.69,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702134,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,10.8,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-08-13 17:45:00,NA,501084,Calcium,10.8,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702132,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,8.78,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-08-13 17:00:00,NA,502067,Calcium,8.78,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400985,Sample-Routine,2004-09-15,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660480,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,1.88,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,Estimated Detection Level,0.01,mg/l,NWIS,2004-09-15 13:15:00,NA,502250,Calcium,1.88,mg/l,0.01,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702133,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,8.86,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-08-13 17:30:00,NA,504270,Calcium,8.86,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702130,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,10,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-08-13 16:20:00,NA,504672,Calcium,10.0,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400982,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660440,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,1.82,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,Estimated Detection Level,0.01,mg/l,NWIS,2004-09-14 14:30:00,NA,505127,Calcium,1.82,mg/l,0.01,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400986,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660450,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,1.85,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,Estimated Detection Level,0.01,mg/l,NWIS,2004-09-14 15:00:00,NA,505661,Calcium,1.85,mg/l,0.01,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701749,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,13,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",NA,NA,NA,NA,NA,NWIS,1997-07-09 15:15:00,NA,506116,Calcium,13.0,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900460,Sample-Routine,2009-04-16,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660030,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.77,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-04-16 13:45:00,NA,506523,Calcium,2.77,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900605,Sample-Routine,2009-07-07,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660030,   A-1910145 2 Samples     1 Regular and 1 Replicate    Bottom (Bed) Material,A-1910145 2 Samples     1 Regular and 1 Replicate    Bottom (Bed) Material,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,3.09,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-07-07 13:45:00,NA,507011,Calcium,3.09,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900455,Sample-Routine,2009-05-05,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660030,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.7,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-05-05 17:45:00,NA,507317,Calcium,2.70,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900603,Sample-Routine,2009-07-07,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01659700,   A-1910146 Bottom (Bed) Material,A-1910146 Bottom (Bed) Material,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,3.03,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-07-07 15:00:00,NA,507443,Calcium,3.03,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900572,Sample-Routine,2009-06-23,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01659700,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.79,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-06-23 15:35:00,NA,507688,Calcium,2.79,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900266,Sample-Routine,2009-02-19,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01659700,   ,NA,USGS,USGS,USGS,Unknown,NA,"Calcium, dissolved",Dissolved,2.54,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,915,NA,NA,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",NA,Laboratory Reporting Level,0.02,mg/l,NWIS,2009-02-19 14:10:00,NA,510114,Calcium,2.54,mg/l,0.02,mg/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
