OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,sampledate,ActivityEndDate,sampledepth_m_legacy,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,samplesiteid_legacy,comments_legacy,ActivityCommentText,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,datavalue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,labmethodname_legacy,labmethodinfo_legacy,LaboratoryName,ResultLaboratoryCommentText,qualifier_legacy,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,ProviderName,ActivityStartDateTime,ActivityEndDateTime,obs_id,source_parameter,source_value,source_unit,detectionlimit_legacy,detectionlimit_unit_legacy,sampleposition_legacy,sampletype_legacy,sampledepth_m_lagos,samplelayer_lagos,sampletype_lagos
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900601,Sample-Routine,2009-07-07,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660020, holding time exceededsee result comment Hold-time violation - for accurate results measure in the field without delay. See NWQL Tech Memo 95-01 A-1910144 Bottom (Bed) Material,A-1910144 Bottom (Bed) Material,USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,15.6,mg/l CaCO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,Hold-time violation - for accurate results measure in the field without delay. See NWQL Tech Memo 95-01,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57","USGS-National Water Quality Lab, Denver, CO",holding time exceededsee result comment,Laboratory Reporting Level,159.84,ueq/L,NWIS,2009-07-07 14:30:00,NA,498266,Alkalinity,15.6,mg/l CaCO3,8,mg/l CaCO3,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702132,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,26,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,TT013,USGS,"Alkalinity, wf, field, increment",NA,NA,NA,NA,NA,NA,NWIS,1997-08-13 17:00:00,NA,499689,Alkalinity,26,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702132,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,29.3,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57",NA,NA,NA,NA,NA,NWIS,1997-08-13 17:00:00,NA,499698,Alkalinity,29.3,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701750,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,24,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,TT013,USGS,"Alkalinity, wf, field, increment",NA,NA,NA,NA,NA,NA,NWIS,1997-07-09 15:30:00,NA,499788,Alkalinity,24,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701750,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,26.5,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57",NA,NA,NA,NA,NA,NWIS,1997-07-09 15:30:00,NA,499796,Alkalinity,26.5,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900451,Sample-Routine,2009-05-05,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01659700,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,12,mg/l CaCO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2009-05-05 18:35:00,NA,499928,Alkalinity,12,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900388,Sample-Routine,2009-03-24,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660030,"   L-0860009 Received March 26, 2009","L-0860009 Received March 26, 2009",USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,13,mg/l CaCO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2009-03-24 14:20:00,NA,500442,Alkalinity,13,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900388,Sample-Routine,2009-03-24,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660030," holding time exceededsee result comment Hold-time violation - for accurate results measure in the field without delay. See NWQL Tech Memo 95-01 L-0860009 Received March 26, 2009","L-0860009 Received March 26, 2009",USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,14.9,mg/l CaCO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,Hold-time violation - for accurate results measure in the field without delay. See NWQL Tech Memo 95-01,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57","USGS-National Water Quality Lab, Denver, CO",holding time exceededsee result comment,Laboratory Reporting Level,159.84,ueq/L,NWIS,2009-03-24 14:20:00,NA,500451,Alkalinity,14.9,mg/l CaCO3,8,mg/l CaCO3,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400985,Sample-Routine,2004-09-15,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660480,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,7,mg/l CaCO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2004-09-15 13:15:00,NA,502256,Alkalinity,7,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701751,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,30.5,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57",NA,NA,NA,NA,NA,NWIS,1997-07-09 15:45:00,NA,502352,Alkalinity,30.5,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
