OrganizationFormalName,ActivityConductingOrganizationText,depths,no_depths
USGS Connecticut Water Science Center,"USGS-Atlanta Central Laboratory, GA",0,328
USGS Connecticut Water Science Center,NA,2000,334
USGS Florida Water Science Center,U.S. Geological Survey-Water Resources Discipline,1535,8038
USGS Florida Water Science Center,USGS - Florida Water Science Center,2,187
USGS Florida Water Science Center,"USGS-Atlanta Central Laboratory, GA",105,260
USGS Florida Water Science Center,"USGS-District Water-Quality Lab, Ocala, Florida",37,129
USGS Florida Water Science Center,NA,1970,7547
USGS Georgia Water Science Center,U.S. Geological Survey-Water Resources Discipline,3007,3674
USGS Georgia Water Science Center,NA,1846,1341
USGS Idaho Water Science Center,U.S. Geological Survey-Water Resources Discipline,8515,2146
USGS Idaho Water Science Center,NA,1104,521
USGS Indiana Water Science Center,U.S. Geological Survey-Water Resources Discipline,217,593
USGS Indiana Water Science Center,NA,38,404
USGS Iowa Water Science Center,Organization other than U.S. Geological Survey,0,284
USGS Iowa Water Science Center,U.S. Geological Survey-Water Resources Discipline,2108,671
USGS Kansas Water Science Center,"Kansas State Biological Survey, Lawrence, KS",126,230
USGS Kansas Water Science Center,U.S. Geological Survey-Water Resources Discipline,2812,1979
USGS Kansas Water Science Center,USGS - Kansas Water Science Center,1456,4722
USGS Kentucky Water Science Center,U.S. Geological Survey-Water Resources Discipline,85,120
USGS Louisiana Water Science Center,U.S. Geological Survey,1002,864
USGS Louisiana Water Science Center,U.S. Geological Survey-Water Resources Discipline,2096,17786
USGS Louisiana Water Science Center,"USGS-Atlanta Central Laboratory, GA",265,677
USGS Louisiana Water Science Center,NA,1268,7592
USGS Maine Water Science Center,"Maine, Dept. of Environmental Protection",58,492
USGS Massachusetts Water Science Center,U.S. Geological Survey-Water Resources Discipline,1450,2667
USGS Mississippi Water Science Center,U.S. Geological Survey-Water Resources Discipline,171,238
USGS Missouri Water Science Center,U.S. Geological Survey,47,127
USGS Missouri Water Science Center,U.S. Geological Survey-Water Resources Discipline,1551,5396
USGS Montana Water Science Center,U.S. Geological Survey-Water Resources Discipline,11432,683
USGS Nebraska Water Science Center,U.S. Geological Survey-Water Resources Discipline,2324,306
USGS Nevada Water Science Center,U.S. Geological Survey-Water Resources Discipline,1818,1254
USGS Nevada Water Science Center,USGS - Nevada Water Science Center,156,206
USGS Nevada Water Science Center,NA,1849,681
USGS New Hampshire Water Science Center,U.S. Geological Survey-Water Resources Discipline,3364,150
USGS New Jersey Water Science Center,New Jersey Department of Environmental Protection(DEP),179,316
USGS New Jersey Water Science Center,U.S. Geological Survey-Water Resources Discipline,600,422
USGS New Mexico Water Science Center,U.S. Geological Survey-Water Resources Discipline,1245,673
USGS North Carolina Water Science Center,U.S. Geological Survey-Water Resources Discipline,27141,2985
USGS North Dakota Water Science Center,North Dakota State Health Department,1293,455
USGS North Dakota Water Science Center,U.S. Geological Survey-Water Resources Discipline,47668,5832
USGS North Dakota Water Science Center,NA,874,155
USGS Ohio Water Science Center,"Clermont Co. Soil & Water Conservation District, Ohio",19,142
USGS Ohio Water Science Center,"USGS-District Water-Quality Lab, Columbus, Ohio",36,266
USGS Oklahoma Water Science Center,"Oklahoma Conservation Commission, Oklahoma City, OK",2138,2887
USGS Oklahoma Water Science Center,U.S. Geological Survey-Water Resources Discipline,5758,1044
USGS Oklahoma Water Science Center,"USGS-National Water Quality Lab, Denver, CO",310,209
USGS Oklahoma Water Science Center,NA,1327,761
USGS Oregon Water Science Center,U.S. Geological Survey-Water Resources Discipline,10613,5285
USGS Oregon Water Science Center,NA,842,468
USGS South Carolina Water Science Center,U.S. Geological Survey-Water Resources Discipline,941,476
USGS South Dakota Water Science Center,U.S. Geological Survey,0,111
USGS South Dakota Water Science Center,U.S. Geological Survey-Water Resources Discipline,3794,3490
USGS South Dakota Water Science Center,"USGS-National Water Quality Lab, Denver, CO",0,100
USGS South Dakota Water Science Center,NA,44,132
USGS Tennessee Water Science Center,U.S. Geological Survey-Water Resources Discipline,0,131
USGS Texas Water Science Center,International Boundary Water Commission,0,1019
USGS Texas Water Science Center,U.S. Geological Survey-Water Resources Discipline,182713,4752
USGS Texas Water Science Center,"USGS-National Water Quality Lab, Denver, CO",9146,495
USGS Texas Water Science Center,NA,12647,2640
USGS Utah Water Science Center,U.S. Geological Survey,783,838
USGS Utah Water Science Center,U.S. Geological Survey-Water Resources Discipline,5779,2409
USGS Utah Water Science Center,NA,1714,228
USGS Virginia Water Science Center,U.S. Geological Survey-Water Resources Discipline,10330,2023
USGS Washington Water Science Center,U.S. Geological Survey-Water Resources Discipline,8946,1828
USGS Wyoming Water Science Center,U.S. Geological Survey-Water Resources Discipline,507,1382
USGS Wyoming Water Science Center,NA,465,223
Utah Department Of Environmental Quality,Bureau of Reclamation,5029,1174
Utah Department Of Environmental Quality,Central Utah Water Conservancy District,11305,758
Utah Department Of Environmental Quality,CUWCD,9670,899
Utah Department Of Environmental Quality,Division of Water Quality,29615,1716
Utah Department Of Environmental Quality,NA,65875,45050
