combined_name,depths,no_depths,proport_depth,depth_75,sd_depth
"USGS South Dakota Water Science Center USGS-National Water Quality Lab, Denver, CO",0,80,100,NA,NA
USGS Tennessee Water Science Center U.S. Geological Survey-Water Resources Discipline,0,132,100,NA,NA
USGS Texas Water Science Center International Boundary Water Commission,0,948,100,NA,NA
USGS Texas Water Science Center NA,20658,2129,9.34,4.3,6.44
USGS Texas Water Science Center Organization other than U.S. Geological Survey,0,5,100,NA,NA
USGS Texas Water Science Center U.S. Geological Survey,96,20,17.24,0.3,0.06
USGS Texas Water Science Center U.S. Geological Survey-Water Resources Discipline,247273,4080,1.62,6.1,6.46
"USGS Texas Water Science Center USGS-National Water Quality Lab, Denver, CO",10475,443,4.06,9.1,7.61
USGS Utah Water Science Center NA,1783,92,4.91,20,25.74
USGS Utah Water Science Center U.S. Bureau of Sport Fisheries and Wildlife,0,16,100,NA,NA
USGS Utah Water Science Center U.S. Geological Survey,0,165,100,NA,NA
USGS Utah Water Science Center U.S. Geological Survey-Water Resources Discipline,2124,564,20.98,8,4.16
USGS Utah Water Science Center USGS - Utah Water Science Center,0,45,100,NA,NA
USGS Virginia Water Science Center U.S. Geological Survey-Water Resources Discipline,12448,1585,11.29,6.4,4.59
USGS Washington Water Science Center NA,5540,18,0.32,17.5,20.89
USGS Washington Water Science Center U.S. Geological Survey-Water Resources Discipline,11699,1550,11.7,19,22.93
USGS Wisconsin Water Science Center NA,1773,92,4.93,4.6,1.91
USGS Wisconsin Water Science Center Observer,707,4,0.56,0,0.28
USGS Wisconsin Water Science Center U.S. Geological Survey-Water Resources Discipline,69216,1285,1.82,2,8.33
"USGS Wisconsin Water Science Center USGS-Atlanta Central Laboratory, GA",305,42,12.1,0.9,1.92
USGS Wyoming Water Science Center NA,613,222,26.59,15.2,11.59
USGS Wyoming Water Science Center U.S. Geological Survey-Water Resources Discipline,612,1045,63.07,30,51.31
Utah Department Of Environmental Quality Bureau of Reclamation,5284,10,0.19,2,5.09
Utah Department Of Environmental Quality NA,80779,7498,8.49,0,2.13
Vermont Dept of Environmental Conservation NA,208094,12323,5.59,7.5,11.47
Wisconsin Department of Natural Resources WIDNR_WQX,390061,41226,9.56,0.9,7.65
