combined_name,depths,no_depths,proport_depth,depth_75,sd_depth
Maryland Dept. of the Environment In House Water Data NA,17126,118,0.68,0.5,2.62
"Massachusetts Department of Environmental Protection (MassDEP) MassDEP, Southeast Regional Office",12,1,7.69,0,0
"Massachusetts Department of Environmental Protection (MassDEP) MassDEP, Watershed Planning Program",1139,115,9.17,0.5,69.53
Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan (Gun Lake) (Tribal) NA,225,2,0.88,0,0.15
"McGlynn Laboratories, Inc (Florida) NA",7297,4696,39.16,0.6,1.49
MDEQ_WQ_WQX - Montana DEQ WQPB MTDEQ,6400,588,8.41,12,15.91
MENOMINEE INDIAN TRIBE OF WISCONSIN (Wisconson) (Tribal) NA,779,118,13.15,0.5,0.28
Mescalero Apache Tribe DRMP NA,3,204,98.55,0.6,0
Metro Waste Water Reclamation District (Colorado) NA,2294,473,17.09,1,1.49
Michigan Department of Environmental Quality NA,3394,1986,36.91,0.3,3.35
Michigan DEQ NA,0,235,100,NA,NA
Midwest Envir. Consultants NA,2419,70,2.81,2.7,3.38
Mille Lacs Band of Ojibwe DNR/Environment (Tribal) NA,1963,256,11.54,2,0
"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band ( Leech Lake Band; ) (Tribal) NA",2474,309,11.1,0,3.35
"Minnesota Chippewa Tribe, Minnesota (White Earth Band) (Tribal) NA",2536,14,0.55,3,7.48
Minnesota Department of Agriculture - Pesticide Monitoring NA,0,3,100,NA,NA
Minnesota Pollution Control Agency - Ambient Surface Water NA,1629202,5438,0.33,2,3.28
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,6417,3086,32.47,1.2,0.98
Missouri Dept. of Natural Resources NA,97,2964,96.83,0,0.65
Missouri State University NA,0,75,100,NA,NA
Monmouth County Health Department Monmouth County Health Department,0,106,100,NA,NA
Monmouth County Health Department NA,0,105,100,NA,NA
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data MONT-DEQ,2963,778,20.8,2.6,10.31
MTWTRSHD_WQX - Montana Watershed Data PBS&J,58,10,14.71,1,0
MTWTRSHD_WQX - Montana Watershed Data Whitefish Lake Inst,203,144,41.5,30,11.38
Mystic River Watershed Association (Massachusetts) NA,0,510,100,NA,NA
National Park Service Water Resources Division NA,51924,15669,23.18,4,72.86
"Navajo Nation, Arizona, New Mexico & Utah NA",0,273,100,NA,NA
Nebraska Department of Environment and Energy NA,24577,3160,11.39,0,0
New Hampshire Department Of Environmental Services (BEACH) NA,48724,25645,34.48,3.3,3.19
New York State Dec Division Of Water NA,12296,3,0.02,2,3.36
NJDEP Bur of Environmental Analysis Restoration & Standards Princeton Hydro LLC,156,64,29.09,0.5,0.21
