SITE_ID,VISIT_NO,INDEX_LAT_DD,INDEX_LON_DD,UID
NLA06608-0116,1,35.62036,-106.31097,NA
NLA06608-0120,1,36.15501,-96.26522,NA
NLA06608-0120,2,36.15507,-96.26556,NA
NLA06608-0124,1,42.14036,-101.80836,NA
NLA06608-0126,1,47.18729,-99.32296,NA
NLA06608-0126,2,47.18729,-99.32296,NA
NLA06608-0127,1,34.152566,-109.307102,NA
NLA06608-0128,1,48.749,-109.2395,NA
NLA06608-0128,2,48.75352,-109.24924,NA
NLA06608-0129,1,48.20432,-114.6196,NA
NLA06608-0129,2,48.21164,-114.61656,NA
NLA06608-0130,1,31.405332,-111.086251,NA
NLA06608-0132,1,36.207264,-109.094163,NA
NLA06608-0134,1,41.87657,-73.04256,NA
NLA06608-0137,1,38.15084,-119.36214,NA
NLA06608-0139,1,41.1715,-85.941,NA
NLA06608-0140,1,39.63558,-95.45996,NA
NLA06608-0141,1,39.42367,-75.68708,NA
NLA06608-0142,1,45.999722,-89.528889,NA
NLA06608-0144,1,33.41937,-99.37269,NA
NLA06608-0144,2,33.42132,-99.37075,NA
NLA06608-0148,1,39.348,-86.10167,NA
NLA06608-0149,1,41.633333,-76.840278,NA
NLA06608-0150,1,44.8675,-69.234444,NA
NLA06608-0152,1,34.60399,-97.677,NA
NLA06608-0153,1,37.21395,-78.61884,NA
NLA06608-0155,1,42.37637,-88.12599,NA
NLA06608-0158,1,45.88566,-91.24897,NA
NLA06608-0161,1,28.115193,-82.729773,NA
NLA06608-0162,1,42.733056,-72.102778,NA
NLA06608-0167,1,44.94283,-94.03497,NA
NLA06608-0167,2,44.94202,-94.03545,NA
NLA06608-0168,1,37.75711,-94.85423,NA
NLA06608-0169,1,38.520197,-111.530736,NA
NLA06608-0169,2,38.521921,-111.531292,NA
NLA06608-0170,1,43.99153,-86.10782,NA
NLA06608-0173,1,33.078238,-115.510706,NA
NLA06608-0174,1,46.25191,-96.03529,NA
NLA06608-0174,2,46.25217,-96.03619,NA
NLA06608-0175,1,39.688423,-84.686731,NA
NLA06608-0176,1,35.13336,-90.45391,NA
NLA06608-0177,1,43.89833,-73.053333,NA
NLA06608-0179,1,44.36405,-101.05303,NA
NLA06608-0179,2,44.36397,-101.05266,NA
NLA06608-0180,1,34.52772,-98.88272,NA
NLA06608-0181,1,37.78793,-119.07026,NA
NLA06608-0183,1,45.326111,-92.419722,NA
NLA06608-0184,1,38.83376,-94.74848,NA
NLA06608-0185,1,41.11194,-75.4575,NA
NLA06608-0189,1,40.03041,-80.57854,NA
NLA06608-0189,2,40.03048,-80.57852,NA
NLA06608-0190,1,47.67268,-93.75956,NA
NLA06608-0191,1,35.16604,-83.66223,NA
NLA06608-0193,1,48.713567,-121.155307,NA
NLA06608-0195,1,46.888889,-99.0875,NA
NLA06608-0196,1,38.77505,-88.06881,NA
NLA06608-0198,1,41.71325,-70.089643,NA
NLA06608-0201,1,39.10952,-120.43717,NA
NLA06608-0203,1,33.96683,-87.12711,NA
NLA06608-0204,1,35.42553,-99.23938,NA
NLA06608-0207,1,32.60341,-84.8179,NA
NLA06608-0207,2,32.60346,-84.81803,NA
