lagoslakeid,source_sample_siteid,sample_date,sample_depth_m,temp_degc,do_mgl,ph,spcond_uscm,source_value_qualifiercode,source_comments,profile
94645,NLA12_PA-R10,23-Jul-12,2,24.4,5.7,6.4,41,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,0,24.9,5.2,6.5,42,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,13,8.5,6,6.1,41,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,7,18.8,6.9,6.7,39,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,4,22.7,5.9,6.6,43,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,0,24.8,5.6,6.3,42,NA,NA,integrated
94645,NLA12_PA-R10,23-Jul-12,6,20.8,6.3,6.7,40,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,9,13.3,6.7,5.5,51,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,11.9,10,2.7,5.3,62,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,0,25.1,6.7,6,50,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,1,25.2,6.5,6.1,50,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,11,11.1,4.3,5.2,51,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,2,25.2,6.4,6.2,50,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,7,17.8,6.9,5.9,50,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,4,25.1,6.2,6.2,50,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,0,25.2,5.5,6.1,50,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,6,21.4,6.5,6.1,50,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,5,24.9,6.1,6.2,50,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,3,25.1,6.3,6.2,50,NA,NA,integrated
258838,NLA12_PA-R11,24-Jul-12,8,15.1,6.9,5.7,50,NA,NA,integrated
390321,NLA12_OK-306,23-Jul-12,2.8,30.54,3.49,6.95,482,NA,NA,integrated
390321,NLA12_OK-306,23-Jul-12,1,30.9,6.73,8.82,478,NA,NA,integrated
390321,NLA12_OK-306,23-Jul-12,0,31.07,6.55,7.1,479,NA,NA,integrated
390321,NLA12_OK-306,23-Jul-12,0,31.03,6.7,8.76,479,NA,NA,integrated
390321,NLA12_OK-306,23-Jul-12,2,30.82,6.21,8.83,478,NA,NA,integrated
