lagoslakeid,source_sample_siteid,sample_date,sample_depth_m,temp_degc,do_mgl,ph,spcond_uscm,source_value_qualifiercode,source_comments,profile
3253,NLA12_OH-127,19-Jul-12,9,8.3,2.5,7.2,108,NA,NA,integrated
3253,NLA12_OH-127,19-Jul-12,0.1,29.2,7.6,7.6,98,NA,NA,integrated
3253,NLA12_OH-127,19-Jul-12,11.5,7.3,1.8,7.1,118,NA,NA,integrated
3253,NLA12_OH-127,19-Jul-12,10,7.6,2.3,7.2,111,NA,NA,integrated
3253,NLA12_OH-127,19-Jul-12,6,13.3,6.1,7.5,101,NA,NA,integrated
3253,NLA12_OH-127,19-Jul-12,7,10.4,3.6,7.3,105,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,9.06,11.9,11,5.9,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,7.08,15.3,11.5,6.3,13,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,0,25.4,8.1,6.6,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,2.08,25.3,8.2,6.4,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,14,8.5,6,5.2,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,0,25.5,8.1,6.3,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,15.9,8.3,5.4,5.2,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,3.07,25.2,8.2,6.4,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,15,8.3,5.5,5.2,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,8.09,13.1,11.4,6.1,13,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,NA,25.5,NA,6.3,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,13,8.6,6.4,5.2,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,10.6,11.1,9.9,5.6,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,11.1,10,9.6,5.6,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,12.1,9.1,7.9,5.4,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,5.05,25.1,8.4,6.4,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,4.09,25.2,8.1,6.4,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,0.98,25.3,8.1,6.5,14,NA,NA,integrated
6296,NLA12_NH-109,19-Jul-12,6.05,18.9,10.9,6.3,14,NA,NA,integrated
8467,NLA12_ME-R11,19-Jul-12,2,25.8,7.7,7.2,41.7,NA,NA,integrated
8467,NLA12_ME-R11,19-Jul-12,3,25.4,7.1,7.1,41.4,NA,NA,integrated
8467,NLA12_ME-R11,19-Jul-12,0.3,25.9,7.6,7.1,42.8,NA,NA,integrated
8467,NLA12_ME-R11,19-Jul-12,0.3,25.9,7.95,7.41,43.8,NA,NA,integrated
8467,NLA12_ME-R11,19-Jul-12,0,25.9,7.6,7.1,42.8,NA,NA,integrated
8467,NLA12_ME-R11,19-Jul-12,1,25.9,7.8,7.3,41.8,NA,NA,integrated
85539,NLA12_MD-103,19-Jul-12,1,25.4,7.7,7.4,618,NA,NA,integrated
85539,NLA12_MD-103,19-Jul-12,0.5,25.4,7.7,7.4,619,NA,NA,integrated
85539,NLA12_MD-103,19-Jul-12,0,25.3,7.6,7.3,619,NA,NA,integrated
85539,NLA12_MD-103,19-Jul-12,2,24.5,7.4,7.1,644,NA,NA,integrated
85539,NLA12_MD-103,19-Jul-12,2.6,22.4,5.2,6.7,615,NA,NA,integrated
