State,CharacteristicName,n
MI,"Magnesium, dissolved",NA
MI,"Mercury, dissolved",NA
MI,"Mercury, total",NA
MI,"Methylmercury, dissolved",NA
MI,Microcystin,NA
MI,"Nitrogen, NH4",NA
MI,"Nitrogen, nitrite (NO2)",NA
MI,"Nitrogen, nitrite (NO2) + nitrate (NO3)",NA
MI,"Nitrogen, total",NA
MI,"Nitrogen, total dissolved",NA
MI,"Nitrogen, total dissolved Kjeldahl",NA
MI,"Nitrogen, total Kjeldahl",NA
MI,"Oxygen, dissolved",2
MI,"pH, equilibrated",2
MI,"Phosphorus, soluable reactive orthophosphate",NA
MI,"Phosphorus, total",NA
MI,"Phosphorus, total dissolved",NA
MI,Potassium,NA
MI,Salinity,NA
MI,Secchi,NA
MI,"Selenium, dissolved",NA
MI,"Selenium, total",NA
MI,"Silica, dissolved",NA
MI,Sodium,NA
MI,"Solids, total suspended",NA
MI,"Sulfate, dissolved",NA
MI,Turbidity,NA
MN,Alkalinity,6
MN,"Aluminum, dissolved",NA
MN,"Aluminum, total",NA
MN,ANC,NA
MN,"Arsenic, dissolved",NA
MN,"Arsenic, total",NA
MN,"Atrazine, dissolved",NA
MN,"Calcium, dissolved",83
MN,"Carbon, dissolved organic",NA
MN,"Carbon, total inorganic",NA
MN,"Carbon, total organic",NA
MN,"Chloride, dissolved",33
MN,Chlorophyll a,765
MN,"Color, apparent",NA
MN,"Color, true",NA
MN,Conductivity,3572
MN,Depth,1
MN,E. coli,NA
MN,E. coli-CFU,NA
MN,E. coli-MPN,NA
MN,"Magnesium, dissolved",83
MN,"Mercury, dissolved",4
MN,"Mercury, total",15
MN,"Methylmercury, dissolved",NA
MN,Microcystin,NA
MN,"Nitrogen, NH4",1
MN,"Nitrogen, nitrite (NO2)",NA
MN,"Nitrogen, nitrite (NO2) + nitrate (NO3)",37
MN,"Nitrogen, total",NA
MN,"Nitrogen, total dissolved",NA
MN,"Nitrogen, total dissolved Kjeldahl",1
MN,"Nitrogen, total Kjeldahl",20
MN,"Oxygen, dissolved",4439
MN,"pH, equilibrated",3834
MN,"Phosphorus, soluable reactive orthophosphate",12
MN,"Phosphorus, total",763
MN,"Phosphorus, total dissolved",NA
MN,Potassium,91
MN,Salinity,NA
MN,Secchi,1126
MN,"Selenium, dissolved",NA
MN,"Selenium, total",NA
MN,"Silica, dissolved",30
MN,Sodium,89
MN,"Solids, total suspended",NA
MN,"Sulfate, dissolved",1
MN,Turbidity,NA
MO,Alkalinity,2046
MO,"Aluminum, dissolved",56
MO,"Aluminum, total",NA
MO,ANC,NA
MO,"Arsenic, dissolved",41
MO,"Arsenic, total",157
MO,"Atrazine, dissolved",70
MO,"Calcium, dissolved",981
MO,"Carbon, dissolved organic",5
MO,"Carbon, total inorganic",NA
MO,"Carbon, total organic",83
MO,"Chloride, dissolved",544
MO,Chlorophyll a,650
MO,"Color, apparent",NA
MO,"Color, true",929
MO,Conductivity,16554
MO,Depth,NA
MO,E. coli,NA
MO,E. coli-CFU,166
MO,E. coli-MPN,NA
MO,"Magnesium, dissolved",980
MO,"Mercury, dissolved",9
MO,"Mercury, total",NA
MO,"Methylmercury, dissolved",NA
MO,Microcystin,2
MO,"Nitrogen, NH4",130
MO,"Nitrogen, nitrite (NO2)",124
MO,"Nitrogen, nitrite (NO2) + nitrate (NO3)",183
MO,"Nitrogen, total",219
MO,"Nitrogen, total dissolved",NA
MO,"Nitrogen, total dissolved Kjeldahl",12
MO,"Nitrogen, total Kjeldahl",727
MO,"Oxygen, dissolved",15656
MO,"pH, equilibrated",16416
MO,"Phosphorus, soluable reactive orthophosphate",113
MO,"Phosphorus, total",1444
MO,"Phosphorus, total dissolved",NA
MO,Potassium,227
MO,Salinity,NA
MO,Secchi,2770
MO,"Selenium, dissolved",30
MO,"Selenium, total",NA
MO,"Silica, dissolved",85
MO,Sodium,227
MO,"Solids, total suspended",NA
MO,"Sulfate, dissolved",473
MO,Turbidity,1137
MS,Alkalinity,3002
MS,"Aluminum, dissolved",NA
MS,"Aluminum, total",6
MS,ANC,NA
MS,"Arsenic, dissolved",NA
MS,"Arsenic, total",8
MS,"Atrazine, dissolved",4
MS,"Calcium, dissolved",5
MS,"Carbon, dissolved organic",NA
MS,"Carbon, total inorganic",NA
MS,"Carbon, total organic",3624
MS,"Chloride, dissolved",5
MS,Chlorophyll a,1561
MS,"Color, apparent",NA
MS,"Color, true",4
MS,Conductivity,24533
MS,Depth,1073
MS,E. coli,NA
MS,E. coli-CFU,38
MS,E. coli-MPN,NA
MS,"Magnesium, dissolved",5
MS,"Mercury, dissolved",NA
MS,"Mercury, total",NA
MS,"Methylmercury, dissolved",NA
MS,Microcystin,NA
MS,"Nitrogen, NH4",NA
MS,"Nitrogen, nitrite (NO2)",NA
MS,"Nitrogen, nitrite (NO2) + nitrate (NO3)",21
MS,"Nitrogen, total",NA
MS,"Nitrogen, total dissolved",NA
MS,"Nitrogen, total dissolved Kjeldahl",NA
MS,"Nitrogen, total Kjeldahl",3714
MS,"Oxygen, dissolved",24886
MS,"pH, equilibrated",25149
MS,"Phosphorus, soluable reactive orthophosphate",23
MS,"Phosphorus, total",3144
MS,"Phosphorus, total dissolved",NA
MS,Potassium,11
MS,Salinity,NA
MS,Secchi,2546
MS,"Selenium, dissolved",NA
MS,"Selenium, total",NA
MS,"Silica, dissolved",4
MS,Sodium,11
MS,"Solids, total suspended",2878
MS,"Sulfate, dissolved",5
MS,Turbidity,3332
MT,Alkalinity,3039
MT,"Aluminum, dissolved",365
MT,"Aluminum, total",75
MT,ANC,NA
MT,"Arsenic, dissolved",466
MT,"Arsenic, total",338
MT,"Atrazine, dissolved",NA
MT,"Calcium, dissolved",1176
MT,"Carbon, dissolved organic",165
MT,"Carbon, total inorganic",265
MT,"Carbon, total organic",1976
MT,"Chloride, dissolved",855
MT,Chlorophyll a,2766
MT,"Color, apparent",NA
MT,"Color, true",178
MT,Conductivity,52666
MT,Depth,603
MT,E. coli,1
MT,E. coli-CFU,23
MT,E. coli-MPN,27
MT,"Magnesium, dissolved",1165
MT,"Mercury, dissolved",60
MT,"Mercury, total",105
MT,"Methylmercury, dissolved",13
MT,Microcystin,253
MT,"Nitrogen, NH4",696
MT,"Nitrogen, nitrite (NO2)",632
MT,"Nitrogen, nitrite (NO2) + nitrate (NO3)",1815
MT,"Nitrogen, total",1752
MT,"Nitrogen, total dissolved",13
MT,"Nitrogen, total dissolved Kjeldahl",16
MT,"Nitrogen, total Kjeldahl",1822
MT,"Oxygen, dissolved",57601
MT,"pH, equilibrated",55615
MT,"Phosphorus, soluable reactive orthophosphate",4505
MT,"Phosphorus, total",3765
MT,"Phosphorus, total dissolved",6
MT,Potassium,1003
MT,Salinity,12
MT,Secchi,1905
MT,"Selenium, dissolved",496
MT,"Selenium, total",202
MT,"Silica, dissolved",2157
MT,Sodium,1157
MT,"Solids, total suspended",242
MT,"Sulfate, dissolved",1226
MT,Turbidity,16200
NC,Alkalinity,6343
NC,"Aluminum, dissolved",11
NC,"Aluminum, total",776
NC,ANC,NA
NC,"Arsenic, dissolved",18
NC,"Arsenic, total",3181
NC,"Atrazine, dissolved",25
NC,"Calcium, dissolved",1794
NC,"Carbon, dissolved organic",283
NC,"Carbon, total inorganic",NA
NC,"Carbon, total organic",3464
NC,"Chloride, dissolved",1504
NC,Chlorophyll a,22036
NC,"Color, apparent",NA
NC,"Color, true",975
NC,Conductivity,126003
NC,Depth,416
NC,E. coli,NA
NC,E. coli-CFU,NA
NC,E. coli-MPN,47
NC,"Magnesium, dissolved",1794
NC,"Mercury, dissolved",58
NC,"Mercury, total",3489
NC,"Methylmercury, dissolved",NA
NC,Microcystin,NA
NC,"Nitrogen, NH4",2588
NC,"Nitrogen, nitrite (NO2)",973
NC,"Nitrogen, nitrite (NO2) + nitrate (NO3)",1941
NC,"Nitrogen, total",NA
NC,"Nitrogen, total dissolved",NA
NC,"Nitrogen, total dissolved Kjeldahl",138
NC,"Nitrogen, total Kjeldahl",15843
NC,"Oxygen, dissolved",125177
NC,"pH, equilibrated",112835
NC,"Phosphorus, soluable reactive orthophosphate",2238
NC,"Phosphorus, total",16196
NC,"Phosphorus, total dissolved",NA
NC,Potassium,1532
NC,Salinity,304
NC,Secchi,9678
NC,"Selenium, dissolved",2
NC,"Selenium, total",230
NC,"Silica, dissolved",1469
NC,Sodium,1561
NC,"Solids, total suspended",8694
NC,"Sulfate, dissolved",1639
NC,Turbidity,14060
ND,Alkalinity,14071
ND,"Aluminum, dissolved",188
ND,"Aluminum, total",80
ND,ANC,NA
ND,"Arsenic, dissolved",1863
ND,"Arsenic, total",911
ND,"Atrazine, dissolved",23
ND,"Calcium, dissolved",4283
ND,"Carbon, dissolved organic",46
ND,"Carbon, total inorganic",2
ND,"Carbon, total organic",2246
ND,"Chloride, dissolved",15037
ND,Chlorophyll a,7008
ND,"Color, apparent",NA
ND,"Color, true",569
ND,Conductivity,106444
ND,Depth,5417
ND,E. coli,26
ND,E. coli-CFU,NA
ND,E. coli-MPN,296
ND,"Magnesium, dissolved",4243
ND,"Mercury, dissolved",182
ND,"Mercury, total",210
ND,"Methylmercury, dissolved",14
ND,Microcystin,433
ND,"Nitrogen, NH4",3042
ND,"Nitrogen, nitrite (NO2)",1166
ND,"Nitrogen, nitrite (NO2) + nitrate (NO3)",3098
ND,"Nitrogen, total",397
ND,"Nitrogen, total dissolved",519
ND,"Nitrogen, total dissolved Kjeldahl",538
ND,"Nitrogen, total Kjeldahl",7452
ND,"Oxygen, dissolved",117140
ND,"pH, equilibrated",101652
ND,"Phosphorus, soluable reactive orthophosphate",12220
ND,"Phosphorus, total",13737
ND,"Phosphorus, total dissolved",NA
ND,Potassium,8391
ND,Salinity,830
ND,Secchi,7624
ND,"Selenium, dissolved",715
ND,"Selenium, total",593
ND,"Silica, dissolved",2396
ND,Sodium,8727
ND,"Solids, total suspended",843
ND,"Sulfate, dissolved",13323
ND,Turbidity,17568
NE,Alkalinity,3948
NE,"Aluminum, dissolved",185
NE,"Aluminum, total",14
NE,ANC,NA
NE,"Arsenic, dissolved",254
NE,"Arsenic, total",22
NE,"Atrazine, dissolved",19
NE,"Calcium, dissolved",377
NE,"Carbon, dissolved organic",1
NE,"Carbon, total inorganic",NA
NE,"Carbon, total organic",287
NE,"Chloride, dissolved",205
NE,Chlorophyll a,2850
NE,"Color, apparent",NA
NE,"Color, true",NA
NE,Conductivity,51659
NE,Depth,4204
NE,E. coli,6473
NE,E. coli-CFU,413
NE,E. coli-MPN,3
NE,"Magnesium, dissolved",334
NE,"Mercury, dissolved",240
NE,"Mercury, total",232
NE,"Methylmercury, dissolved",NA
NE,Microcystin,6007
NE,"Nitrogen, NH4",164
NE,"Nitrogen, nitrite (NO2)",40
NE,"Nitrogen, nitrite (NO2) + nitrate (NO3)",61
NE,"Nitrogen, total",10
NE,"Nitrogen, total dissolved",3
NE,"Nitrogen, total dissolved Kjeldahl",NA
NE,"Nitrogen, total Kjeldahl",3248
NE,"Oxygen, dissolved",51665
NE,"pH, equilibrated",51750
NE,"Phosphorus, soluable reactive orthophosphate",2925
NE,"Phosphorus, total",3209
NE,"Phosphorus, total dissolved",NA
NE,Potassium,179
NE,Salinity,NA
NE,Secchi,5408
NE,"Selenium, dissolved",152
NE,"Selenium, total",239
NE,"Silica, dissolved",298
NE,Sodium,313
NE,"Solids, total suspended",23
NE,"Sulfate, dissolved",358
NE,Turbidity,24956
NH,Alkalinity,2
NH,"Aluminum, dissolved",NA
NH,"Aluminum, total",NA
NH,ANC,NA
NH,"Arsenic, dissolved",NA
NH,"Arsenic, total",NA
NH,"Atrazine, dissolved",NA
NH,"Calcium, dissolved",NA
NH,"Carbon, dissolved organic",NA
NH,"Carbon, total inorganic",NA
NH,"Carbon, total organic",26
NH,"Chloride, dissolved",2
NH,Chlorophyll a,216
NH,"Color, apparent",NA
NH,"Color, true",595
NH,Conductivity,634
NH,Depth,NA
NH,E. coli,NA
NH,E. coli-CFU,NA
NH,E. coli-MPN,NA
NH,"Magnesium, dissolved",NA
NH,"Mercury, dissolved",NA
NH,"Mercury, total",NA
NH,"Methylmercury, dissolved",NA
NH,Microcystin,NA
NH,"Nitrogen, NH4",NA
NH,"Nitrogen, nitrite (NO2)",NA
NH,"Nitrogen, nitrite (NO2) + nitrate (NO3)",NA
NH,"Nitrogen, total",571
NH,"Nitrogen, total dissolved",NA
NH,"Nitrogen, total dissolved Kjeldahl",NA
NH,"Nitrogen, total Kjeldahl",582
NH,"Oxygen, dissolved",843
NH,"pH, equilibrated",728
NH,"Phosphorus, soluable reactive orthophosphate",138
NH,"Phosphorus, total",644
NH,"Phosphorus, total dissolved",NA
NH,Potassium,NA
NH,Salinity,NA
NH,Secchi,1650
NH,"Selenium, dissolved",NA
NH,"Selenium, total",NA
NH,"Silica, dissolved",323
NH,Sodium,NA
NH,"Solids, total suspended",NA
NH,"Sulfate, dissolved",2
NH,Turbidity,106
NJ,Alkalinity,133
NJ,"Aluminum, dissolved",21
NJ,"Aluminum, total",NA
NJ,ANC,NA
NJ,"Arsenic, dissolved",55
NJ,"Arsenic, total",17
NJ,"Atrazine, dissolved",4
NJ,"Calcium, dissolved",58
NJ,"Carbon, dissolved organic",86
NJ,"Carbon, total inorganic",NA
NJ,"Carbon, total organic",44
NJ,"Chloride, dissolved",59
NJ,Chlorophyll a,624
NJ,"Color, apparent",NA
NJ,"Color, true",NA
NJ,Conductivity,2588
NJ,Depth,821
NJ,E. coli,NA
NJ,E. coli-CFU,NA
NJ,E. coli-MPN,NA
NJ,"Magnesium, dissolved",62
NJ,"Mercury, dissolved",NA
NJ,"Mercury, total",40
NJ,"Methylmercury, dissolved",24
NJ,Microcystin,8
NJ,"Nitrogen, NH4",90
NJ,"Nitrogen, nitrite (NO2)",9
NJ,"Nitrogen, nitrite (NO2) + nitrate (NO3)",64
NJ,"Nitrogen, total",1
NJ,"Nitrogen, total dissolved",NA
NJ,"Nitrogen, total dissolved Kjeldahl",54
NJ,"Nitrogen, total Kjeldahl",128
NJ,"Oxygen, dissolved",2592
NJ,"pH, equilibrated",2590
NJ,"Phosphorus, soluable reactive orthophosphate",26
NJ,"Phosphorus, total",475
NJ,"Phosphorus, total dissolved",NA
NJ,Potassium,58
NJ,Salinity,NA
NJ,Secchi,691
NJ,"Selenium, dissolved",4
NJ,"Selenium, total",2
NJ,"Silica, dissolved",54
NJ,Sodium,58
NJ,"Solids, total suspended",NA
NJ,"Sulfate, dissolved",96
NJ,Turbidity,7
NM,Alkalinity,365
NM,"Aluminum, dissolved",42
NM,"Aluminum, total",98
NM,ANC,NA
NM,"Arsenic, dissolved",140
NM,"Arsenic, total",92
NM,"Atrazine, dissolved",NA
NM,"Calcium, dissolved",283
NM,"Carbon, dissolved organic",27
NM,"Carbon, total inorganic",2
NM,"Carbon, total organic",143
NM,"Chloride, dissolved",168
NM,Chlorophyll a,267
NM,"Color, apparent",1
NM,"Color, true",2
NM,Conductivity,7839
NM,Depth,324
NM,E. coli,NA
NM,E. coli-CFU,45
NM,E. coli-MPN,35
NM,"Magnesium, dissolved",280
NM,"Mercury, dissolved",30
NM,"Mercury, total",24
NM,"Methylmercury, dissolved",NA
NM,Microcystin,NA
NM,"Nitrogen, NH4",30
NM,"Nitrogen, nitrite (NO2)",9
NM,"Nitrogen, nitrite (NO2) + nitrate (NO3)",123
NM,"Nitrogen, total",32
NM,"Nitrogen, total dissolved",7
NM,"Nitrogen, total dissolved Kjeldahl",47
NM,"Nitrogen, total Kjeldahl",307
NM,"Oxygen, dissolved",5189
NM,"pH, equilibrated",7577
NM,"Phosphorus, soluable reactive orthophosphate",196
NM,"Phosphorus, total",287
NM,"Phosphorus, total dissolved",NA
NM,Potassium,236
NM,Salinity,3496
NM,Secchi,376
NM,"Selenium, dissolved",36
NM,"Selenium, total",46
NM,"Silica, dissolved",163
NM,Sodium,260
NM,"Solids, total suspended",310
NM,"Sulfate, dissolved",164
NM,Turbidity,895
NV,Alkalinity,4092
NV,"Aluminum, dissolved",35
NV,"Aluminum, total",NA
NV,ANC,NA
NV,"Arsenic, dissolved",1501
NV,"Arsenic, total",1336
NV,"Atrazine, dissolved",NA
NV,"Calcium, dissolved",1925
NV,"Carbon, dissolved organic",83
NV,"Carbon, total inorganic",5
NV,"Carbon, total organic",209
NV,"Chloride, dissolved",1586
NV,Chlorophyll a,1518
NV,"Color, apparent",NA
NV,"Color, true",2285
NV,Conductivity,14578
NV,Depth,124
NV,E. coli,52
NV,E. coli-CFU,3
NV,E. coli-MPN,280
NV,"Magnesium, dissolved",1906
NV,"Mercury, dissolved",129
NV,"Mercury, total",246
NV,"Methylmercury, dissolved",94
NV,Microcystin,NA
NV,"Nitrogen, NH4",300
NV,"Nitrogen, nitrite (NO2)",93
NV,"Nitrogen, nitrite (NO2) + nitrate (NO3)",1188
NV,"Nitrogen, total",36
NV,"Nitrogen, total dissolved",2
NV,"Nitrogen, total dissolved Kjeldahl",92
NV,"Nitrogen, total Kjeldahl",425
NV,"Oxygen, dissolved",10991
NV,"pH, equilibrated",13135
NV,"Phosphorus, soluable reactive orthophosphate",857
NV,"Phosphorus, total",3350
NV,"Phosphorus, total dissolved",NA
NV,Potassium,764
NV,Salinity,NA
NV,Secchi,60
NV,"Selenium, dissolved",552
NV,"Selenium, total",509
NV,"Silica, dissolved",630
NV,Sodium,2806
NV,"Solids, total suspended",343
NV,"Sulfate, dissolved",734
NV,Turbidity,2881
OH,Alkalinity,37
OH,"Aluminum, dissolved",NA
OH,"Aluminum, total",NA
OH,ANC,NA
OH,"Arsenic, dissolved",NA
OH,"Arsenic, total",NA
OH,"Atrazine, dissolved",NA
OH,"Calcium, dissolved",NA
OH,"Carbon, dissolved organic",NA
OH,"Carbon, total inorganic",NA
OH,"Carbon, total organic",37
OH,"Chloride, dissolved",NA
OH,Chlorophyll a,97
OH,"Color, apparent",NA
OH,"Color, true",NA
OH,Conductivity,61
OH,Depth,61
OH,E. coli,NA
OH,E. coli-CFU,NA
OH,E. coli-MPN,NA
OH,"Magnesium, dissolved",NA
OH,"Mercury, dissolved",NA
OH,"Mercury, total",NA
OH,"Methylmercury, dissolved",NA
OH,Microcystin,57
OH,"Nitrogen, NH4",31
OH,"Nitrogen, nitrite (NO2)",29
OH,"Nitrogen, nitrite (NO2) + nitrate (NO3)",22
OH,"Nitrogen, total",61
OH,"Nitrogen, total dissolved",NA
OH,"Nitrogen, total dissolved Kjeldahl",NA
OH,"Nitrogen, total Kjeldahl",NA
OH,"Oxygen, dissolved",41
OH,"pH, equilibrated",61
OH,"Phosphorus, soluable reactive orthophosphate",13
OH,"Phosphorus, total",61
OH,"Phosphorus, total dissolved",NA
OH,Potassium,NA
OH,Salinity,NA
OH,Secchi,61
OH,"Selenium, dissolved",NA
OH,"Selenium, total",NA
OH,"Silica, dissolved",NA
OH,Sodium,NA
OH,"Solids, total suspended",NA
OH,"Sulfate, dissolved",NA
OH,Turbidity,46
OK,Alkalinity,2691
OK,"Aluminum, dissolved",44
OK,"Aluminum, total",495
OK,ANC,NA
OK,"Arsenic, dissolved",79
OK,"Arsenic, total",239
OK,"Atrazine, dissolved",71
OK,"Calcium, dissolved",998
OK,"Carbon, dissolved organic",43
OK,"Carbon, total inorganic",NA
OK,"Carbon, total organic",70
OK,"Chloride, dissolved",1652
OK,Chlorophyll a,1711
OK,"Color, apparent",481
OK,"Color, true",608
OK,Conductivity,24432
OK,Depth,265
OK,E. coli,108
OK,E. coli-CFU,31
OK,E. coli-MPN,572
OK,"Magnesium, dissolved",1003
OK,"Mercury, dissolved",48
OK,"Mercury, total",8
OK,"Methylmercury, dissolved",NA
OK,Microcystin,NA
OK,"Nitrogen, NH4",182
OK,"Nitrogen, nitrite (NO2)",441
OK,"Nitrogen, nitrite (NO2) + nitrate (NO3)",725
OK,"Nitrogen, total",1422
OK,"Nitrogen, total dissolved",51
OK,"Nitrogen, total dissolved Kjeldahl",104
OK,"Nitrogen, total Kjeldahl",1549
OK,"Oxygen, dissolved",23661
OK,"pH, equilibrated",23467
OK,"Phosphorus, soluable reactive orthophosphate",229
OK,"Phosphorus, total",2426
OK,"Phosphorus, total dissolved",NA
OK,Potassium,1203
OK,Salinity,4617
OK,Secchi,1223
OK,"Selenium, dissolved",40
OK,"Selenium, total",72
OK,"Silica, dissolved",410
OK,Sodium,1202
OK,"Solids, total suspended",807
OK,"Sulfate, dissolved",1638
OK,Turbidity,8736
OR,Alkalinity,3059
OR,"Aluminum, dissolved",129
OR,"Aluminum, total",NA
OR,ANC,NA
OR,"Arsenic, dissolved",79
OR,"Arsenic, total",233
OR,"Atrazine, dissolved",NA
OR,"Calcium, dissolved",1322
OR,"Carbon, dissolved organic",87
OR,"Carbon, total inorganic",NA
OR,"Carbon, total organic",1173
OR,"Chloride, dissolved",708
OR,Chlorophyll a,8817
OR,"Color, apparent",NA
OR,"Color, true",130
OR,Conductivity,346463
OR,Depth,3608
OR,E. coli,230
OR,E. coli-CFU,14
OR,E. coli-MPN,109
OR,"Magnesium, dissolved",1310
OR,"Mercury, dissolved",20
OR,"Mercury, total",125
OR,"Methylmercury, dissolved",8
OR,Microcystin,24
OR,"Nitrogen, NH4",2533
OR,"Nitrogen, nitrite (NO2)",29
OR,"Nitrogen, nitrite (NO2) + nitrate (NO3)",1665
OR,"Nitrogen, total",1613
OR,"Nitrogen, total dissolved",64
OR,"Nitrogen, total dissolved Kjeldahl",400
OR,"Nitrogen, total Kjeldahl",2036
OR,"Oxygen, dissolved",29593
OR,"pH, equilibrated",19040
OR,"Phosphorus, soluable reactive orthophosphate",3785
OR,"Phosphorus, total",4056
OR,"Phosphorus, total dissolved",13
OR,Potassium,1767
OR,Salinity,72
OR,Secchi,18923
OR,"Selenium, dissolved",9
OR,"Selenium, total",136
OR,"Silica, dissolved",1343
OR,Sodium,1789
OR,"Solids, total suspended",779
OR,"Sulfate, dissolved",656
OR,Turbidity,3723
RI,Alkalinity,NA
RI,"Aluminum, dissolved",NA
RI,"Aluminum, total",NA
RI,ANC,NA
RI,"Arsenic, dissolved",NA
RI,"Arsenic, total",NA
RI,"Atrazine, dissolved",NA
RI,"Calcium, dissolved",72
RI,"Carbon, dissolved organic",71
RI,"Carbon, total inorganic",NA
RI,"Carbon, total organic",NA
RI,"Chloride, dissolved",72
RI,Chlorophyll a,71
RI,"Color, apparent",NA
RI,"Color, true",NA
RI,Conductivity,90
RI,Depth,NA
RI,E. coli,NA
RI,E. coli-CFU,NA
RI,E. coli-MPN,NA
RI,"Magnesium, dissolved",72
RI,"Mercury, dissolved",NA
RI,"Mercury, total",NA
RI,"Methylmercury, dissolved",NA
RI,Microcystin,NA
RI,"Nitrogen, NH4",NA
RI,"Nitrogen, nitrite (NO2)",NA
RI,"Nitrogen, nitrite (NO2) + nitrate (NO3)",NA
RI,"Nitrogen, total",NA
RI,"Nitrogen, total dissolved",NA
RI,"Nitrogen, total dissolved Kjeldahl",NA
RI,"Nitrogen, total Kjeldahl",68
RI,"Oxygen, dissolved",79
RI,"pH, equilibrated",97
RI,"Phosphorus, soluable reactive orthophosphate",NA
RI,"Phosphorus, total",63
RI,"Phosphorus, total dissolved",NA
RI,Potassium,71
RI,Salinity,NA
RI,Secchi,366
RI,"Selenium, dissolved",NA
RI,"Selenium, total",NA
RI,"Silica, dissolved",70
RI,Sodium,72
RI,"Solids, total suspended",NA
RI,"Sulfate, dissolved",72
RI,Turbidity,NA
SC,Alkalinity,15562
SC,"Aluminum, dissolved",NA
SC,"Aluminum, total",1
SC,ANC,NA
SC,"Arsenic, dissolved",NA
SC,"Arsenic, total",469
SC,"Atrazine, dissolved",2
SC,"Calcium, dissolved",109
SC,"Carbon, dissolved organic",109
SC,"Carbon, total inorganic",NA
SC,"Carbon, total organic",2206
SC,"Chloride, dissolved",97
SC,Chlorophyll a,5320
SC,"Color, apparent",NA
SC,"Color, true",5522
SC,Conductivity,35784
SC,Depth,9135
SC,E. coli,3320
SC,E. coli-CFU,10
SC,E. coli-MPN,42
SC,"Magnesium, dissolved",109
SC,"Mercury, dissolved",NA
SC,"Mercury, total",247
SC,"Methylmercury, dissolved",NA
SC,Microcystin,18
SC,"Nitrogen, NH4",59
SC,"Nitrogen, nitrite (NO2)",9
SC,"Nitrogen, nitrite (NO2) + nitrate (NO3)",130
SC,"Nitrogen, total",95
SC,"Nitrogen, total dissolved",88
SC,"Nitrogen, total dissolved Kjeldahl",1
SC,"Nitrogen, total Kjeldahl",13473
SC,"Oxygen, dissolved",49605
SC,"pH, equilibrated",37520
SC,"Phosphorus, soluable reactive orthophosphate",21
SC,"Phosphorus, total",4696
SC,"Phosphorus, total dissolved",NA
SC,Potassium,4216
SC,Salinity,154
SC,Secchi,8021
SC,"Selenium, dissolved",NA
SC,"Selenium, total",494
SC,"Silica, dissolved",105
SC,Sodium,4413
SC,"Solids, total suspended",500
SC,"Sulfate, dissolved",97
SC,Turbidity,18825
SD,Alkalinity,11216
SD,"Aluminum, dissolved",37
SD,"Aluminum, total",177
SD,ANC,NA
SD,"Arsenic, dissolved",307
SD,"Arsenic, total",296
SD,"Atrazine, dissolved",16
SD,"Calcium, dissolved",614
SD,"Carbon, dissolved organic",37
SD,"Carbon, total inorganic",NA
SD,"Carbon, total organic",1761
SD,"Chloride, dissolved",898
SD,Chlorophyll a,13410
SD,"Color, apparent",NA
SD,"Color, true",18
SD,Conductivity,77866
SD,Depth,17707
SD,E. coli,1137
SD,E. coli-CFU,252
SD,E. coli-MPN,42
SD,"Magnesium, dissolved",614
SD,"Mercury, dissolved",53
SD,"Mercury, total",53
SD,"Methylmercury, dissolved",NA
SD,Microcystin,923
SD,"Nitrogen, NH4",471
SD,"Nitrogen, nitrite (NO2)",260
SD,"Nitrogen, nitrite (NO2) + nitrate (NO3)",279
SD,"Nitrogen, total",11
SD,"Nitrogen, total dissolved",NA
SD,"Nitrogen, total dissolved Kjeldahl",58
SD,"Nitrogen, total Kjeldahl",17309
SD,"Oxygen, dissolved",87776
SD,"pH, equilibrated",74974
SD,"Phosphorus, soluable reactive orthophosphate",18081
SD,"Phosphorus, total",12659
SD,"Phosphorus, total dissolved",NA
SD,Potassium,736
SD,Salinity,NA
SD,Secchi,14454
SD,"Selenium, dissolved",86
SD,"Selenium, total",195
SD,"Silica, dissolved",467
SD,Sodium,762
SD,"Solids, total suspended",11487
SD,"Sulfate, dissolved",1881
SD,Turbidity,33656
TN,Alkalinity,2869
TN,"Aluminum, dissolved",190
TN,"Aluminum, total",2903
TN,ANC,NA
TN,"Arsenic, dissolved",92
TN,"Arsenic, total",891
TN,"Atrazine, dissolved",NA
TN,"Calcium, dissolved",177
TN,"Carbon, dissolved organic",NA
TN,"Carbon, total inorganic",NA
TN,"Carbon, total organic",2526
TN,"Chloride, dissolved",7
TN,Chlorophyll a,4705
TN,"Color, apparent",359
TN,"Color, true",319
TN,Conductivity,38368
TN,Depth,2684
TN,E. coli,NA
TN,E. coli-CFU,222
TN,E. coli-MPN,314
TN,"Magnesium, dissolved",177
TN,"Mercury, dissolved",1
TN,"Mercury, total",320
TN,"Methylmercury, dissolved",NA
TN,Microcystin,NA
TN,"Nitrogen, NH4",4
TN,"Nitrogen, nitrite (NO2)",NA
TN,"Nitrogen, nitrite (NO2) + nitrate (NO3)",1
TN,"Nitrogen, total",NA
TN,"Nitrogen, total dissolved",NA
TN,"Nitrogen, total dissolved Kjeldahl",NA
TN,"Nitrogen, total Kjeldahl",2349
TN,"Oxygen, dissolved",38404
TN,"pH, equilibrated",38503
TN,"Phosphorus, soluable reactive orthophosphate",2550
TN,"Phosphorus, total",2630
TN,"Phosphorus, total dissolved",NA
TN,Potassium,2329
TN,Salinity,NA
TN,Secchi,2880
TN,"Selenium, dissolved",104
TN,"Selenium, total",697
