State,CharacteristicName,n
CA,"Nitrogen, total dissolved Kjeldahl",539
CA,"Nitrogen, total Kjeldahl",2011
CA,"Oxygen, dissolved",18659
CA,"pH, equilibrated",19690
CA,"Phosphorus, soluable reactive orthophosphate",2703
CA,"Phosphorus, total",4780
CA,"Phosphorus, total dissolved",NA
CA,Potassium,1447
CA,Salinity,1407
CA,Secchi,2136
CA,"Selenium, dissolved",116
CA,"Selenium, total",214
CA,"Silica, dissolved",1211
CA,Sodium,1420
CA,"Solids, total suspended",404
CA,"Sulfate, dissolved",1595
CA,Turbidity,4070
CO,Alkalinity,8109
CO,"Aluminum, dissolved",1660
CO,"Aluminum, total",172
CO,ANC,19
CO,"Arsenic, dissolved",1433
CO,"Arsenic, total",515
CO,"Atrazine, dissolved",NA
CO,"Calcium, dissolved",6864
CO,"Carbon, dissolved organic",2874
CO,"Carbon, total inorganic",133
CO,"Carbon, total organic",2060
CO,"Chloride, dissolved",4744
CO,Chlorophyll a,4302
CO,"Color, apparent",NA
CO,"Color, true",596
CO,Conductivity,91670
CO,Depth,26419
CO,E. coli,153
CO,E. coli-CFU,27
CO,E. coli-MPN,10
CO,"Magnesium, dissolved",6859
CO,"Mercury, dissolved",74
CO,"Mercury, total",265
CO,"Methylmercury, dissolved",51
CO,Microcystin,1
CO,"Nitrogen, NH4",3945
CO,"Nitrogen, nitrite (NO2)",2369
CO,"Nitrogen, nitrite (NO2) + nitrate (NO3)",5630
CO,"Nitrogen, total",2172
CO,"Nitrogen, total dissolved",514
CO,"Nitrogen, total dissolved Kjeldahl",744
CO,"Nitrogen, total Kjeldahl",4724
CO,"Oxygen, dissolved",91795
CO,"pH, equilibrated",91057
CO,"Phosphorus, soluable reactive orthophosphate",5025
CO,"Phosphorus, total",8171
CO,"Phosphorus, total dissolved",55
CO,Potassium,5992
CO,Salinity,NA
CO,Secchi,7209
CO,"Selenium, dissolved",1939
CO,"Selenium, total",637
CO,"Silica, dissolved",4182
CO,Sodium,6397
CO,"Solids, total suspended",561
CO,"Sulfate, dissolved",5003
CO,Turbidity,2356
CT,Alkalinity,607
CT,"Aluminum, dissolved",6
CT,"Aluminum, total",NA
CT,ANC,NA
CT,"Arsenic, dissolved",1
CT,"Arsenic, total",NA
CT,"Atrazine, dissolved",NA
CT,"Calcium, dissolved",196
CT,"Carbon, dissolved organic",NA
CT,"Carbon, total inorganic",NA
CT,"Carbon, total organic",332
CT,"Chloride, dissolved",310
CT,Chlorophyll a,156
CT,"Color, apparent",NA
CT,"Color, true",184
CT,Conductivity,1510
CT,Depth,NA
CT,E. coli,NA
CT,E. coli-CFU,NA
CT,E. coli-MPN,502
CT,"Magnesium, dissolved",196
CT,"Mercury, dissolved",NA
CT,"Mercury, total",NA
CT,"Methylmercury, dissolved",NA
CT,Microcystin,NA
CT,"Nitrogen, NH4",359
CT,"Nitrogen, nitrite (NO2)",24
CT,"Nitrogen, nitrite (NO2) + nitrate (NO3)",47
CT,"Nitrogen, total",425
CT,"Nitrogen, total dissolved",44
CT,"Nitrogen, total dissolved Kjeldahl",70
CT,"Nitrogen, total Kjeldahl",770
CT,"Oxygen, dissolved",1364
CT,"pH, equilibrated",1415
CT,"Phosphorus, soluable reactive orthophosphate",189
CT,"Phosphorus, total",893
CT,"Phosphorus, total dissolved",NA
CT,Potassium,7
CT,Salinity,NA
CT,Secchi,262
CT,"Selenium, dissolved",NA
CT,"Selenium, total",NA
CT,"Silica, dissolved",163
CT,Sodium,7
CT,"Solids, total suspended",290
CT,"Sulfate, dissolved",235
CT,Turbidity,217
DE,Alkalinity,2965
DE,"Aluminum, dissolved",NA
DE,"Aluminum, total",NA
DE,ANC,NA
DE,"Arsenic, dissolved",47
DE,"Arsenic, total",1
DE,"Atrazine, dissolved",NA
DE,"Calcium, dissolved",530
DE,"Carbon, dissolved organic",NA
DE,"Carbon, total inorganic",NA
DE,"Carbon, total organic",4978
DE,"Chloride, dissolved",531
DE,Chlorophyll a,3617
DE,"Color, apparent",NA
DE,"Color, true",NA
DE,Conductivity,3860
DE,Depth,NA
DE,E. coli,NA
DE,E. coli-CFU,NA
DE,E. coli-MPN,NA
DE,"Magnesium, dissolved",530
DE,"Mercury, dissolved",NA
DE,"Mercury, total",NA
DE,"Methylmercury, dissolved",NA
DE,Microcystin,NA
DE,"Nitrogen, NH4",286
DE,"Nitrogen, nitrite (NO2)",NA
DE,"Nitrogen, nitrite (NO2) + nitrate (NO3)",361
DE,"Nitrogen, total",2796
DE,"Nitrogen, total dissolved",312
DE,"Nitrogen, total dissolved Kjeldahl",43
DE,"Nitrogen, total Kjeldahl",930
DE,"Oxygen, dissolved",5090
DE,"pH, equilibrated",3864
DE,"Phosphorus, soluable reactive orthophosphate",2672
DE,"Phosphorus, total",3535
DE,"Phosphorus, total dissolved",NA
DE,Potassium,529
DE,Salinity,1514
DE,Secchi,3624
DE,"Selenium, dissolved",NA
DE,"Selenium, total",NA
DE,"Silica, dissolved",28
DE,Sodium,531
