uid,laboratoryName,startDate,endDate,analyte,instrument,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate
"71975586-f558-4270-967e-bde7aea78352","EcoCore_CSU","2020-02-07","2020-02-07","DIC","Shimadzu toc-L","Combustion/NDIR",,0.025,"milligramsPerLiter",0.079,"Standard deviation of nominal value",,0.489,"95% CI of combined uncertainty","EcoCore, Colorado State University","2017-02-09",
"1cb6cd5e-74f0-461a-88ff-f200fca46dc4","EcoCore_CSU","2020-02-07","2020-02-07","specificConductance","YSI meter and 1 cm cell","EPA 120.1",,0.100,"microsiemensPerCentimeter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"2287eb68-119d-40e0-b756-bd2bfe7cdeb3","EcoCore_CSU","2020-02-07","2020-02-07","TPC","Leco Tru-Spec","Combustion/Dumas",,0.010,"milligram",0.009,"Standard deviation of nominal value",,0.032,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-06-15",
"3c7fd73d-546d-45ec-bc92-c6db5b43f8fe","EcoCore_CSU","2020-02-07","2020-02-07","UV Absorbance (280 nm)","Tecan Infinite M201","Absorbance",,,"absorbance units",1.000,"% of 1/1000 OD",,1.000,"% of 1/1000 OD","EcoCore, Colorado State University","2014-10-06",
"3d565aba-050b-4876-a578-5d32fdcfc1c3","EcoCore_CSU","2020-02-07","2020-02-07","Si","Perkin Elmer Optima 7300 DV ICP","EPA 200.5",,0.010,"milligramsPerLiter",4.700,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"e71b7213-8d32-4208-85b8-3e8a7de67c9d","EcoCore_CSU","2020-02-07","2020-02-07","TOC","Shimadzu toc-L","acidification/NDIR",,0.100,"milligramsPerLiter",0.153,"Standard deviation of nominal value",,0.350,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-06-15","2019-05-28"
"f18eb97c-0867-46a4-870f-117e943271ff","EcoCore_CSU","2020-02-07","2020-02-07","SO4","Thermo Scientific Dionex ICS-1100 IC","EPA 300.0",,0.010,"milligramsPerLiter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"3ccfd597-36dd-439b-bfd7-55e250ec7c2e","EcoCore_CSU","2020-02-07","2020-02-07","DOC","Shimadzu toc-L","Combustion/NDIR",,0.100,"milligramsPerLiter",0.153,"Standard deviation of nominal value",,0.350,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-06-15","2019-05-28"
"2fc2cc1e-d406-422e-a036-b65d5a441e2e","EcoCore_CSU","2020-02-07","2020-02-07","DOC","Shimadzu toc-L","Combustion/NDIR",,0.097,"milligramsPerLiter",0.082,"Standard deviation of nominal value",,0.235,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-05-28",
"0d191de0-6539-49cb-9d62-90a93467bb9d","EcoCore_CSU","2020-02-07","2020-02-07","NO3+NO2 - N","OI Analytical 3700 Automated Chemistry Analyzer","Cd reduction/sulfanilamide (EPA 353.2)",,0.000,"milligramsPerLiter",0.037,"Standard deviation of nominal value",,0.214,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-07-03",
"3f66ee35-3c6a-4b8e-860a-02ac8ce504cd","EcoCore_CSU","2020-02-07","2020-02-07","K","Perkin Elmer Optima 7300 DV ICP","EPA 200.5",,0.001,"milligramsPerLiter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"24da2fa5-9ed2-4edc-8804-eb1a2692a87a","EcoCore_CSU","2020-02-07","2020-02-07","Ortho - P","OI flow solution IV","ascorbic acid","50g Disodium EDTA to 1L buffer",0.033,"milligramsPerLiter",0.007,"Standard deviation of nominal value",,0.060,"95% CI of combined uncertainty","EcoCore, Colorado State University","2018-06-07","2019-07-03"
"d2a7fadd-419c-4b72-b694-124fc753a5f1","EcoCore_CSU","2020-02-07","2020-02-07","Ortho - P","OI Analytical 3700 Automated Chemistry Analyzer","ascorbic acid","50g Disodium EDTA to 1L buffer",0.002,"milligramsPerLiter",0.007,"Standard deviation of nominal value",,0.060,"95% CI of combined uncertainty","EcoCore, Colorado State University","2020-02-05",
