"SITE_ID","VISIT_NO","NAMES","lagoslakeid","INDEX_LAT","INDEX_LON"
"NLA06608-0062",2,"; (Unnamed Lake);",NA,47.32021,-99.74669
"NLA06608-0064",1,"Fitzpatrick Lake; Fitzpatrick Lake;",322453,48.89371,-112.16885
"NLA06608-0064",2,"Fitzpatrick Lake; Fitzpatrick Lake;",322453,48.89417,-112.16957
"NLA06608-0065",1,"Sophie Lake; Sophie Lake;",459837,48.95823,-115.12296
"NLA06608-0065",2,"Sophie Lake; Sophie Lake;",459837,48.95734,-115.12332
"NLA06608-0066",1,"; Youghiogheny River Lake;",107177,39.7474,-79.39327
"NLA06608-0066",2,"; Youghiogheny River Lake;",107177,39.7474,-79.39327
"NLA06608-0068",1,"; Trout Lake;",450443,37.8249,-107.8849
"NLA06608-0068",2,"; Trout Lake;",450443,37.82413,-107.88374
"NLA06608-0069",1,"Horseshoe Lake; Horseshoe Lake;",187306,28.637529,-81.137041
"NLA06608-0069",2,"Horseshoe Lake; Horseshoe Lake;",187306,28.637547,-81.137629
"NLA06608-0071",1,"Concordia, Lake; Lake Concordia;",292020,31.62992,-91.54424
"NLA06608-0071",2,"Concordia, Lake; Lake Concordia;",292020,31.63,-91.5431
"NLA06608-0072",1,"; NRCS Site #6;",431850,32.237222,-98.406111
"NLA06608-0072",2,"; NRCS Site #6;",431850,32.236944,-98.406111
"NLA06608-0073",1,"Soda Lake; Soda Lake;",457244,39.52419,-118.88155
"NLA06608-0073",2,"Soda Lake; Soda Lake;",457244,39.52273,-118.87939
"NLA06608-0076",1,"; Smithville;",6199,39.40533,-94.53088
"NLA06608-0076",2,"; Smithville;",6199,39.40531,-94.53208
"NLA06608-0077",1,"Mount Hope Lake; Mount Hope Lake;",13302,40.927278,-74.533121
"NLA06608-0077",2,"Mount Hope Lake; Mount Hope Lake;",13302,40.927178,-74.534021
"NLA06608-0078",1,"; Unknown;",314661,48.17766,-100.29395
"NLA06608-0078",2,"; Unknown;",314661,48.17782,-100.29425
"NLA06608-0079",1,"Trappers Lake; Trappers Lake;",451862,39.98689,-107.23093
"NLA06608-0079",2,"Trappers Lake; Trappers Lake;",451862,39.98796,-107.23036
"NLA06608-0080",1,"Hannaberry Lake; Hannaberry Lake;",281047,34.11771,-91.55416
"NLA06608-0080",2,"Hannaberry Lake; Hannaberry Lake;",281047,34.11858,-91.55648
"NLA06608-0081",1,"Sunday Lake; Armstrong Lake;",472141,48.225298,-122.122999
"NLA06608-0081",2,"Sunday Lake; Armstrong Lake;",472141,48.225327,-122.123175
"NLA06608-0083",2,"; Camp Lake;",341668,45.9513,-99.13453
"NLA06608-0085",1,"; Blacks Creek Reservoir;",464406,43.46128,-116.14376
"NLA06608-0085",2,"; Blacks Creek Reservoir;",464406,43.46104,-116.143
"NLA06608-0086",1,"Lacamas Lake; Lacamas Lake;",467718,45.61784,-122.42934
"NLA06608-0086",2,"Lacamas Lake; Lacamas Lake;",467718,45.620509,-122.432062
"NLA06608-0089",1,"Rhodhiss Lake; Rhodhiss;",162292,35.773211,-81.440422
"NLA06608-0089",2,"Rhodhiss Lake; Rhodhiss;",162292,35.78325,-81.47594
"NLA06608-0090",1,"Black Lake; Black Lake;",450732,42.930648,-109.654222
"NLA06608-0090",2,"Black Lake; Black Lake;",450732,42.93068,-109.65305
"NLA06608-0091",1,"Cedar Lake; Cedar Lake;",1643,41.374167,-87.43222
"NLA06608-0091",2,"Cedar Lake; Cedar Lake;",1643,41.374167,-87.43222
"NLA06608-0099",2,"Oconomowoc Lake; Lake Oconomowoc;",4251,43.0975,-88.461111
"NLA06608-0101",1,"Riga Lake; Riga Lake;",6729,42.02179,-73.48186
"NLA06608-0102",1,"Howard Pond; HOWARD POND;",8514,44.505296,-70.72065
"NLA06608-0104",1,"Kingman County State Lake; Kingman County State Lake;",377502,37.65649,-98.25871
"NLA06608-0104",2,"Kingman County State Lake; Kingman County State Lake;",377502,37.65549,-98.2596
"NLA06608-0105",1,"Piute Reservoir; Piute Reservoir;",456588,38.288034,-112.207424
"NLA06608-0105",2,"Piute Reservoir; Piute Reservoir;",456588,38.288034,-112.207424
"NLA06608-0107",1,"Cheeseboro Lake; Cheeseboro Lake;",53290,41.65,-85.08222
"NLA06608-0110",1,"Pickerel Lake; Pickerel;",69333,46.87083,-95.72909
"NLA06608-0111",1,"; West Branch Reservoir (AKA M.J.Kirwan Reservoir);",2553,41.15006,-81.09237
"NLA06608-0112",1,"Vandalia Lake; Lake Vandalia;",7045,39.01183,-89.12983
"NLA06608-0113",1,"Parker, Lake; Lake Parker;",5397,44.7175,-72.229722
"NLA06608-0115",1,"Marl Lake; Marl Lake;",4433,44.323611,-89.191667
"NLA06608-0116",1,"; Cochiti Lake;",447459,35.62036,-106.31097
"NLA06608-0120",1,"Keystone Reservoir; Keystone;",379118,36.15501,-96.26522
"NLA06608-0120",2,"Keystone Reservoir; Keystone;",379118,36.15507,-96.26556
"NLA06608-0124",1,"North Twin Lake; North Twin Lake;",364315,42.14036,-101.80836
"NLA06608-0126",1,"; Unnamed Lake;",354526,47.18729,-99.32296
"NLA06608-0126",2,"; Unnamed Lake;",354526,47.18729,-99.32296
"NLA06608-0127",1,"Becker Lake; Becker Lake;",453920,34.152566,-109.307102
"NLA06608-0128",1,"Twin Reservoir; Twin Reservoir;",323506,48.749,-109.2395
"NLA06608-0128",2,"Twin Reservoir; Twin Reservoir;",323506,48.75352,-109.24924
"NLA06608-0129",1,"Ashley Lake; Ashley Lake;",458320,48.20432,-114.6196
"NLA06608-0129",2,"Ashley Lake; Ashley Lake;",458320,48.21164,-114.61656
"NLA06608-0130",1,"Pe?a Blanca Lake; Pena Blanca Lake;",454431,31.405332,-111.086251
"NLA06608-0132",1,"Wheatfields Lake; Wheatfields Lake;",NA,36.207264,-109.094163
"NLA06608-0134",1,"West Hill Pond; West Hill Pond;",7329,41.87657,-73.04256
"NLA06608-0137",1,"Upper Twin Lakes at Bridgeport; Upper Twin Lakes;",457192,38.15084,-119.36214
"NLA06608-0139",1,"Palestine Lake; Palestine Lake;",3172,41.1715,-85.941
"NLA06608-0140",1,"Clear Creek Lake; Clear Creek Lake;",374511,39.63558,-95.45996
"NLA06608-0141",1,"Noxontown Pond; Noxontown Pond;",11328,39.42367,-75.68708
"NLA06608-0142",1,"; Plum Lake;",5134,45.999722,-89.528889
"NLA06608-0144",1,"; Miller Creek Reservoir;",430182,33.41937,-99.37269
"NLA06608-0144",2,"; Miller Creek Reservoir;",430182,33.42132,-99.37075
"NLA06608-0148",1,"; Princes East;",263728,39.348,-86.10167
"NLA06608-0149",1,"Nephawin, Lake; Lake Nephawin;",59358,41.633333,-76.840278
"NLA06608-0150",1,"Sebasticook Lake; Sebasticook Lake;",7676,44.8675,-69.234444
"NLA06608-0152",1,"Lake Fuqua; Fuqua;",395554,34.60399,-97.677
"NLA06608-0153",1,"Spring Creek Lake; Spring Creek;",146718,37.21395,-78.61884
"NLA06608-0155",1,"Long Lake; Long Lake;",6473,42.37637,-88.12599
"NLA06608-0158",1,"Blueberry Lake; Blueberry Lake;",4830,45.88566,-91.24897
"NLA06608-0161",1,"Tarpon, Lake; Lake Tarpon;",206550,28.115193,-82.729773
"NLA06608-0162",1,"Sip Pond; Sip Pond;",5934,42.733056,-72.102778
"NLA06608-0167",1,"South Lake; South Lake;",431,44.94283,-94.03497
"NLA06608-0167",2,"South Lake; South Lake;",431,44.94202,-94.03545
"NLA06608-0168",1,"Elm Creek Lake; Elm Creek Lake;",71445,37.75711,-94.85423
"NLA06608-0169",1,"; Forsyth Reservoir;",453086,38.520197,-111.530736
"NLA06608-0169",2,"; Forsyth Reservoir;",453086,38.521921,-111.531292
"NLA06608-0170",1,"Tallman Lake; Tallman Lake;",77010,43.99153,-86.10782
"NLA06608-0173",1,"; Ramer Lake;",483357,33.078238,-115.510706
"NLA06608-0174",1,"Pebble Lake; Pebble Lake;",140541,46.25191,-96.03529
"NLA06608-0174",2,"Pebble Lake; Pebble Lake;",140541,46.25217,-96.03619
"NLA06608-0175",1,"Lake Lakengren; Lake Lakengren;",33496,39.688423,-84.686731
"NLA06608-0176",1,"Blackfish Lake; Blackfish Lake;",42436,35.13336,-90.45391
"NLA06608-0177",1,"Silver Lake; Silver;",5160,43.89833,-73.053333
"NLA06608-0179",1,"; ;",346668,44.36405,-101.05303
"NLA06608-0179",2,"; ;",346668,44.36397,-101.05266
"NLA06608-0180",1,"Lake Frederick; Frederick Lake;",394758,34.52772,-98.88272
"NLA06608-0181",1,"June Lake; June Lake;",483184,37.78793,-119.07026
"NLA06608-0183",1,"Wapogasset Lake; Wapogasset Lake;",5085,45.326111,-92.419722
"NLA06608-0184",1,"; Heritage Park Lake;",36130,38.83376,-94.74848
"NLA06608-0185",1,"Lake Naomi; Lake Naomi;",9357,41.11194,-75.4575
"NLA06608-0189",1,"; Middle Wheeling Creek;",96899,40.03041,-80.57854
"NLA06608-0189",2,"; Middle Wheeling Creek;",96899,40.03048,-80.57852
"NLA06608-0190",1,"Upper Hatch Lake; Upper Hatch;",68334,47.67268,-93.75956
"NLA06608-0191",1,"Nantahala Lake; Lake Natahala;",273196,35.16604,-83.66223
"NLA06608-0193",1,"Gorge Lake; Gorge;",471487,48.713567,-121.155307
"NLA06608-0195",1,"; ;",NA,46.888889,-99.0875
"NLA06608-0196",1,"; MD Borah Lake;",7033,38.77505,-88.06881
"NLA06608-0198",1,"Hinckleys Pond; Hinkley's Pond;",5068,41.71325,-70.089643
"NLA06608-0201",1,"French Meadows Reservoir; French Meadows Reservoir;",474533,39.10952,-120.43717
"NLA06608-0203",1,"; Lewis Smith Reservoir;",247445,33.96683,-87.12711
"NLA06608-0204",1,"; Turkey Creek Site 6 Reservoir;",NA,35.42553,-99.23938
"NLA06608-0207",1,"Mahaffey Lake; Mahaffey Lake;",223721,32.60341,-84.8179
"NLA06608-0207",2,"Mahaffey Lake; Mahaffey Lake;",223721,32.60346,-84.81803
"NLA06608-0208",1,"Lake Hogue; Lake Hogue;",281394,35.58721,-90.96453
"NLA06608-0209",1,"Sammamish, Lake; Lake Sammamish;",470713,47.576139,-122.082704
"NLA06608-0209",2,"Sammamish, Lake; Lake Sammamish;",470713,47.576519,-122.085623
"NLA06608-0211",1,"Allen Lake; Allen Lake;",102467,47.46532,-95.77022
"NLA06608-0215",1,"Nest Lake; Nest Lake;",1834,45.2589,-94.96179
"NLA06608-0216",1,"; Cedar Creek Lake;",371429,40.32843,-96.53174
"NLA06608-0217",1,"Lake Orange; Lake Orange;",152069,36.15246,-79.14693
"NLA06608-0219",1,"Skinner Lake; Skinner Lake;",1437,41.403889,-85.3775
"NLA06608-0220",1,"East Twin Lake; East Twin Lake;",348146,42.50433,-100.53101
"NLA06608-0221",1,"Jolly Pond; Jolly Pond;",145909,37.30012,-76.81998
"NLA06608-0222",1,"Tioga Dam; Tioga Dam;",332282,48.408042,-102.9358
"NLA06608-0223",1,"Swan Lake; Swan Lake;",181399,33.58189,-84.2043
"NLA06608-0223",2,"Swan Lake; Swan Lake;",181399,33.58224,-84.20436
"NLA06608-0224",1,"; Lake Hanna;",28694,37.64975,-90.58316
"NLA06608-0224",2,"; Lake Hanna;",28694,37.65008,-90.58307
"NLA06608-0225",1,"Nilan Reservoir; Nilan Reservoir;",318474,47.4752,-112.52525
"NLA06608-0225",2,"Nilan Reservoir; Nilan Reservoir;",318474,47.47548,-112.52485
"NLA06608-0226",1,"; Voydatch Pond;",107779,43.20072,-71.24758
"NLA06608-0228",1,"Holbrook Reservoir; Holbrook Reservoir;",376659,38.0627,-103.60727
"NLA06608-0228",2,"Holbrook Reservoir; Holbrook Reservoir;",376659,38.0611,-103.60954
"NLA06608-0229",1,"Park Lake; Long Lake;",132776,44.07787,-74.32986
"NLA06608-0234",1,"Pine Lake; Pine Lake;",NA,42.72002,-85.46647
"NLA06608-0235",1,"James Lake; Tippecanoe Lake;",3505,41.333611,-85.776667
"NLA06608-0237",1,"Dacey Reservoir; Dacey Reservoir Lower;",453698,38.39154,-115.11607
"NLA06608-0237",2,"Dacey Reservoir; Dacey Reservoir Lower;",453698,38.39022,-115.11578
"NLA06608-0238",1,"Pelican Lake; Pelican Lake;",2961,46.54872,-94.19182
"NLA06608-0239",1,"Nickajack Reservoir; Nickajack Lake;",NA,35.091273,-85.39441
"NLA06608-0240",1,"Nelson Reservoir; Nelson Reservoir;",323197,48.50165,-107.54056
"NLA06608-0241",1,"Oneida Narrows Reservoir; Oneida Narrows;",455026,42.3015,-111.71743
"NLA06608-0242",1,"Pachaug Pond; Pachaug Pond;",7324,41.570716,-71.918253
"NLA06608-0243",1,"; Lake Oahe;",343492,45.03851,-100.28191
"NLA06608-0244",1,"Lake Kemp; Lake Kemp;",NA,33.747642,-99.192778
"NLA06608-0245",1,"Lake Curry; Lake Curry;",481020,38.361956,-122.126126
"NLA06608-0247",1,"Wall Lake; Wall Lake;",119048,43.53449,-96.96036
"NLA06608-0253",1,"H Z Smith Lake; HZ Smith Lake;",169029,32.47679,-81.83098
"NLA06608-0254",1,"Twin Lakes; Twin Lakes;",314254,47.96546,-99.09451
"NLA06608-0255",1,"Wonder Lake; Wonder Lake;",269051,35.949525,-85.32053
"NLA06608-0257",1,"Koocanusa Reservoir; Koocanusa Reservoir;",459445,48.47723,-115.28041
"NLA06608-0259",1,"; ;",351972,46.3755,-98.99397
"NLA06608-0260",1,"Heron Reservoir; Heron Reservoir;",447742,36.66814,-106.70556
