CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Salinity,ppth,,21FLPNS_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLPNS_WQX FT_1300,FIELD MEASUREMENT OF SALINITY,,1,1,methods_WQX
Salinity,ppth,,21FLSFWM WQ-1,,,1,1,methods_unknown
Salinity,ppth,,21FLSJWM OTHER/UNKNOWN,,,1,1,methods_unknown
Salinity,ppth,,21FLSJWM_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLSJWM_WQX OTHER/UNKNOWN,Other or Unknown Procedure,,1,1,methods_WQX
Salinity,ppth,,21FLSUW FT 1300,,,1,1,methods_unknown
Salinity,ppth,,21FLSUW_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLSUW_WQX FT 1300,Field Measurement of  Salinity,,1,1,methods_WQX
Salinity,ppth,,21FLSUW_WQX OTHER/UNKNOWN,Other of Unknown Procedure,,1,1,methods_WQX
Salinity,ppth,,21FLSWFD_WQX FT-1300,Field Measurement of Salinity,,1,1,methods_WQX
Salinity,ppth,,21FLTLHR_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLTLHR_WQX FT_1300,FIELD MEASUREMENT OF SPECIFIC CONDUCTANCE,,-1000000,-1000000,methods_fail
Salinity,ppth,,21FLTPA_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLTPA_WQX FT_1300,FIELD MEASUREMENT OF SALINITY,,1,1,methods_WQX
Salinity,ppth,,21FLTPA_WQX FT1300,Salinity,,1,1,methods_WQX
Salinity,ppth,,21FLTPA_WQX FT1400,Temperature,,-1000000,-1000000,methods_fail
Salinity,ppth,,21FLVEMD_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLVEMD_WQX MULTIPROBE,MULTIPROBE HYDROLAB FIELD MEASUREMENT,,1,1,methods_WQX
Salinity,ppth,,21FLWET_WQX FT_1300,FIELD MEASUREMENT OF SALINITY,,1,1,methods_WQX
Salinity,ppth,,21FLWPB_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLWPB_WQX FT_1300,FIELD MEASUREMENT OF SALINITY,,1,1,methods_WQX
Salinity,ppth,,21FLWQA_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21FLWQA_WQX FT_1300,FIELD MEASUREMENT OF SALINITY,,1,1,methods_WQX
Salinity,ppth,,21FLWQSP_WQX FDEP FT1300,FDEP FT1300,,1,1,methods_WQX
Salinity,ppth,,21NC01WQ UNKNOWN,,,1,1,methods_unknown
Salinity,ppth,,21NC02WQ WQS SOP,,,1,1,methods_unknown
Salinity,ppth,,21NC03WQ WSSSOP,WSSSOP,,1,1,methods_unknown
Salinity,ppth,,APHA 2130,Turbidity in Water,,-1000000,-1000000,methods_fail
Salinity,ppth,,APHA 2520-B,2520 B ~ Salinity in Water- Electrical Conductivity Method,,1,1,APHA 2520-B; Reported as salt ions
Salinity,ppth,,LADEQWPD LDEQ-FMO,,,1,1,methods_unknown
Salinity,ppth,,MCHD See QA Plan,See QA Plan for this Project,,1,1,methods_unknown
Salinity,ppth,,NA NA,,480,1,1,"USGS_00480;   Salinity, water, unfiltered, parts per thousand"
Salinity,ppth,,NA NA,,,1,1,methods_unknown
Salinity,ppth,,OREGONDEQ Not Available,Not Available,,1,1,methods_unknown
Salinity,ppth,,USEPA 120.1,Conductance,,-1000000,-1000000,methods_fail
Salinity,ppth,,USEPA 120.1,,,-1000000,-1000000,methods_fail
Salinity,ppth,,USGS 00094,Salinity,480,1,1,"USGS_00480;   Salinity, water, unfiltered, parts per thousand"
Salinity,ppth,,UTAHDWQ_WQX FIELD MEASURES,Field Measurements performed by Utah DWQ,,1,1,methods_WQX
Salinity,PSS,PSS,APHA 2520-B,2520 B ~ Salinity in Water- Electrical Conductivity Method,,-1000000,-1000000,units_fail
Salinity,PSS,,21FLCOSP_WQX FDEP FT1300,FDEP FT1300,,-1000000,-1000000,units_fail
Salinity,PSS,,21FLFTM_WQX FDEP FT1300,FDEP FT1300,,-1000000,-1000000,units_fail
Salinity,PSS,,21FLSARA_WQX FT-1300,Field Measurement of Salinity,,-1000000,-1000000,units_fail
Salinity,PSS,,APHA 2520-B,2520 B ~ Salinity in Water- Electrical Conductivity Method,,-1000000,-1000000,units_fail
Salinity,PSS,,CHEROKEE CN_QAPP,,,-1000000,-1000000,units_fail
Salinity,PSS,,CHEROKEE_WQX CN_QAPP,CN_QAPP,,-1000000,-1000000,units_fail
Salinity,PSS,,NA NA,,,-1000000,-1000000,units_fail
Salinity,PSU,PSU,NA NA,,,-1000000,-1000000,units_fail
Salinity,PSU,,11NPSWRD_WQX NPS_INSITU_AT600,Field Measurements by In-Situ Aqua TROLL 600,,-1000000,-1000000,units_fail
Salinity,PSU,,NA NA,,,-1000000,-1000000,units_fail
Salinity,umho/cm,,21FLWPB_WQX FT_1300,FIELD MEASUREMENT OF SALINITY,,-1000000,-1000000,units_fail
Salinity,uS/cm,,NA NA,,,-1000000,-1000000,units_fail
Salinity,,ppt,NA NA,,,1,1,methods_unknown
Salinity,,ppth,21FLHILL_WQX SALINITY,Salinity,,1,1,methods_WQX
Salinity,,ppth,21FLMANA GENERIC,,,1,1,methods_unknown
Salinity,,ppth,21FLMANA_WQX GENERIC,General Listing of Field and Lab Analytical Procedures for Manatee County,,1,1,methods_WQX
Salinity,,ppth,21NC02WQ WQS SOP,,,1,1,methods_unknown
