CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode,Conversion,Conversion_dl,Notes
Selenium,ug/l,APHA 3114-B,NA,NA,NA,1,1,Reported as selenium
Selenium,ug/l,APHA 3114-B,3114 B ~ Metals in Water by Manual HYDAA,ug/l,NA,1,1,Reported as selenium
Selenium,ug/l,NA NA,NA,NA,1146,1,1,Reported as selenium
Selenium,ug/l,NA NA,NA,NA,1147,1,1,Reported as selenium
Selenium,ug/l,NA NA,NA,NA,1145,1,1,Reported as selenium
Selenium,ug/l,USGS HY012,"Selenium, wu, auto hydride AAS",NA,1147,1,1,Reported as selenium
Selenium,ug/l,USEPA 200.7,Metals in Water by ICP-AES,ug/l,NA,1,1,Reported as selenium
Selenium,ug/l,R10BUNKER IN-CLP-LOW,IN-CLP-LOW,ug/l,NA,-1.00E+06,-1.00E+06,unknown
Selenium,ug/l,USGS PLM11,"Elements, wu, cICP-MS",ug/l,1147,1,1,Reported as selenium
