CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Magnesium,mg/l,USEPA 242.1,Magnesium by FLAA,mg/l,NA
Magnesium,mg/l,USEPA 242.1,NA,NA,NA
Magnesium,mg/l,"NA NA",NA,NA,925
Magnesium,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",NA,925
Magnesium,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",mg/l,925
Magnesium,mg/l,USEPA 200.7,Metals in Water by ICP-AES,mg/l,NA
Magnesium,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,NA
Magnesium,mg/l,USDOI/USGS I1472,Metals in Water by ICP,NA,NA
Magnesium,mg/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Magnesium,ug/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Magnesium,mg/l,USDOI/USGS I1472,Metals in Water by ICP,mg/l,NA
Magnesium,ug/l,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),NA,NA
Magnesium,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA
Magnesium,NA,"NA NA",NA,mg/l,925
Magnesium,NA,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",mg/l,925
