CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Silica,mg/l,APHA_SM20ED 4500-SIO2-C,4500 SIO2 C ~ Silica Molybdosilicate Method,mg/l,NA
Silica,mg/l,"NA NA",NA,NA,NA
Silica,mg/l,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,NA,NA
Silica,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",NA,955
Silica,mg/l,USGS CL064,"Silica, wf, ASF molybdate blue",NA,955
Silica,mg/l,"NA NA",NA,NA,955
Silica,mg/l,USEPA 200.7,Metals in Water by ICP-AES,mg/l,NA
Silica,mg/l,USDOI/USGS I2700,Silica in Water by Colorimetry,NA,NA
Silica,mg/l,USGS CL064,"Silica, wf, ASF molybdate blue",mg/l,955
Silica,mg/l,21DELAWQ_WQX 370.1_ELS,Silica by HACH DR4000,NA,NA
Silica,mg/l,USGS PLA11,"Metals, wf, ICP-AES (NWQL)",mg/l,955
Silica,NA,USGS CL064,"Silica, wf, ASF molybdate blue",mg/l,955
