CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Arsenic,mg/l,APHA 3113-B,NA,mg/l,NA
Arsenic,ug/l,USEPA 6010B,NA,NA,NA
Arsenic,ug/l,APHA 3114-B,3114 B ~ Metals in Water by Manual HYDAA,ug/l,NA
Arsenic,ug/l,1119USBR I3026,NA,NA,NA
Arsenic,ug/l,R10BUNKER IN-CLP-LOW,IN-CLP-LOW,ug/l,NA
Arsenic,ug/l,R10BUNKER IN-CLP-LOW,IN-CLP-LOW,NA,NA
Arsenic,ug/l,USDOI/USGS I4062,Arsenic in Water by HYDAA,ug/l,NA
Arsenic,ug/l,USDOI/USGS I4062,Arsenic in Water by HYDAA,NA,NA
Arsenic,ug/l,USEPA 6010A,6010 A ~ ICP Spectroscopy,NA,NA
Arsenic,mg/l,USACOEND 6020,Priority Pollutant Metals in Water,NA,NA
Arsenic,ug/l,USEPA 1638,NA,ug/l,NA
Arsenic,ug/l,LADEQWPD UK_LAB,NA,NA,NA
Arsenic,ug/l,USEPA 1632,NA,ug/l,NA
Arsenic,ug/l,LADEQWPD UK_LAB,NA,ug/l,NA
Arsenic,ug/l,USEPA 200.7,Metals in Water by ICP-AES,NA,NA
Arsenic,ug/l,USGS PLM77,"Metals, wu, 2% corr, cICP-MS",NA,1002
Arsenic,ug/l,"NA NA",NA,NA,NA
Arsenic,ug/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,NA,NA
Arsenic,ug/l,USGS PLM11,"Elements, wu, cICP-MS",NA,1002
Arsenic,ug/l,21NC01WQ UNKNOWN,NA,ug/l,NA
Arsenic,ug/l,21NC01WQ UNKNOWN,NA,NA,NA
Arsenic,mg/l,USEPA 300(A),300 A  ~ Inorganic Anions by Ion Chromatography,NA,NA
Arsenic,mg/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,NA,NA
Arsenic,ug/l,USEPA 200.9,Metals by Temperature Stabilized GFAA,ug/l,NA
Arsenic,ug/l,ASTM D2972(B),D2972 B  ~ Arsenic in Water Using HYDAA,ug/l,NA
Arsenic,mg/l,KAWNATON_WQX 200.8,Metals in Waters by ICP/MS,NA,NA
Arsenic,mg/kg,KAWNATON_WQX 6010,Hydrogen Cyanide by Visible Absorption,NA,NA
Arsenic,mg/kg,KAWNATON_WQX 6010B,Inductively Coupled Plasma AES,NA,NA
Arsenic,mg/l,KAWNATON_WQX 200.9,Metals by Temperature Stabilized GFAA,NA,NA
Arsenic,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA
Arsenic,mg/l,"NA NA",NA,NA,NA
Arsenic,mg/l,CHEROKEE_WQX CN_QAPP,CN_QAPP,mg/l,NA
Arsenic,None,"NA NA",NA,NA,NA
Arsenic,ug/l,APHA 3500-AS(B),NA,NA,NA
Arsenic,ug/l,APHA 3500-AS(B),NA,ug/l,NA
Arsenic,ug/l,USEPA 6010A,NA,ug/l,NA
Arsenic,ug/l,USEPA 6010A,NA,NA,NA
Arsenic,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,mg/l,NA
Arsenic,ug/l,USEPA 6010A,6010 A ~ ICP Spectroscopy,ug/l,NA
Arsenic,ug/l,USEPA 206.2,Arsenic by GFAA,ug/l,NA
Arsenic,ug/l,USACOEND 6020,Priority Pollutant Metals in Water,NA,NA
Arsenic,mg/l,USACOEND 6010A,ICP Metals in Water,NA,NA
Arsenic,mg/kg,TCEQMAIN N/A Calculation,N/A Calculation,NA,NA
Arsenic,ug/l,TCEQMAIN N/A Calculation,N/A Calculation,NA,NA
Arsenic,mg/kg,"NA NA",NA,NA,NA
Arsenic,ug/l,UTAHDWQ_WQX GENERIC METHOD,Used for all methods where historical methodology may not be available.,NA,NA
Arsenic,ug/l,USEPA 1638,Trace Elements in Water by ICP/MS,NA,NA
Arsenic,ug/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,NA,NA
Arsenic,mg/l,USEPA 7061A,7061 A ~ Arsenic by Gaseous Hydride AA,mg/l,NA
Arsenic,ug/l,R10MIDNITE 7040,Antimony,ug/l,NA
