CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Potassium,mg/l,,11NPSWRD_WQX CACO_CATIONS,"Cations, Atomic Absorption Spectrometry",,1,1,methods_WQX
Potassium,mg/l,,11NPSWRD_WQX CRLA_FES_K,Potassium by Flame Emission Spectroscopy,,1,1,methods_WQX
Potassium,mg/l,,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,,1,1,methods_WQX
Potassium,mg/l,,11NPSWRD_WQX NPS_UNSPECIFIED,Unknown or Unspecified Procedure,,1,1,methods_WQX
Potassium,mg/l,,21ARIZ UNKNOWN,,,1,1,methods_unknown
Potassium,mg/l,,21ARIZ_WQX EPA 200.7,METALS,,1,1,EPA 200.7
Potassium,mg/l,,21ARIZ_WQX EPA 200.8,METALS,,1,1,EPA 200.8
Potassium,mg/l,,21ARIZ_WQX EPA 258.1,TOTAL POTASSIUM,,1,1,EPA 258.1
Potassium,mg/l,,21FLSFWM WQ-1,,,1,1,methods_unknown
Potassium,mg/l,,21FLSUW_WQX OTHER/UNKNOWN,Other of Unknown Procedure,,1,1,methods_WQX
Potassium,mg/l,,21MICH MDEQ-EPA,,,1,1,methods_unknown
Potassium,mg/l,,21OHIO_WQX USEPA 200.7,USEPA 200.7,,1,1,EPA 200.7
Potassium,mg/l,,APHA 3111-B,3111 B ~ Metals in Water by FLAA- Direct Air-Acetylene Flame,,1,1,APHA 3111-B
Potassium,mg/l,,APHA 3111-B,,,1,1,APHA 3111-B
Potassium,mg/l,,APHA 3120,Metals in Water by ICP,,1,1,APHA 3120
Potassium,mg/l,,APHA 3500-K-B,,,1,1,APHA 3500-K-B
Potassium,mg/l,,APHA 3500-K-C,3500 K C ~ Potassium in Water by ICP,,1,1,APHA 3500-K-C
Potassium,mg/l,,AZDEQ_SW EPA 200.7,EPA 200.7,,1,1,EPA 200.7
Potassium,mg/l,,AZDEQ_SW EPA 258.1,EPA 258.1,,1,1,EPA 258.1
Potassium,mg/l,,AZDEQ_SW UNKNOWN,UNKNOWN,,1,1,methods_unknown
Potassium,mg/l,,CEDEN 15,EPA 200.7,,1,1,EPA 200.7
Potassium,mg/l,,CEDEN 3065,SM 3120 B,,1,1,APHA 3120-B
Potassium,mg/l,,IL_EPA LAB,,,1,1,methods_unknown
Potassium,mg/l,,KAWNATON_WQX 200.7,Metals in Water by ICP-AES,,1,1,EPA 200.7
Potassium,mg/l,,KAWNATON_WQX 200.8,Metals in Waters by ICP/MS,,1,1,EPA 200.8
Potassium,mg/l,,KAWNATON_WQX 2008,Chloroacetic Acid by Ion Chromatography,,-1000000,-1000000,methods_fail
Potassium,mg/l,,MNPCA LEG_P00935,"POTASSIUM, DISSOLVED (MG/L AS K)",,1,1,USGS_00935
Potassium,mg/l,,MNPCA LEG_P00937,"POTASSIUM, TOTAL MG/L AS  K)",,-1000000,-1000000,methods_fail; total recoverable
Potassium,mg/l,,MNPCA LEG_UNKNOWN,Legacy STORET migration; analytical procedure not specified,,1,1,methods_unknown
Potassium,mg/l,,MONT_DEQ_WQX HISTORIC-MONT-DEQ,Historic Procedure,,1,1,methods_WQX
Potassium,mg/l,,NA NA,,935,1,1,USGS_00935
Potassium,mg/l,,NA NA,,,1,1,methods_unknown
Potassium,mg/l,,ONEIDA_WQX UNKNOWN,UNKNOWN,,1,1,methods_WQX
Potassium,mg/l,,OREGONDEQ Not Available,Not Available,,1,1,methods_unknown
Potassium,mg/l,,R10BUNKER I1630,I1630,,1,1,USGS I-1630
Potassium,mg/l,,R10BUNKER USGS_UNKN,USGS_UNKN,,1,1,methods_unknown
Potassium,mg/l,,R10MIDNITE D6010,Dissolved Metals,,1,1,EPA 6010
Potassium,mg/l,,SPIRITLK I1630,I1630,,1,1,USGS I-1630
Potassium,mg/l,,SPIRITLK LC3121,LC3121,,1,1,methods_unknown
Potassium,mg/l,,SPIRITLK PLO03,PLO03,,1,1,methods_unknown
Potassium,mg/l,,TCEQMAIN N/A Calculation,N/A Calculation,,-1000000,-1000000,methods_fail
Potassium,mg/l,,TURTLEMT GS_UNKNOWN,GS_UNKNOWN,,1,1,methods_unknown
Potassium,mg/l,,UC_REGION_USBOR_WQX SMEWW 3120 B,Standard Methods for the Examination of Water and Wastewater,,1,1,APHA 3120-B
Potassium,mg/l,,USACOEND 6010A,ICP Metals in Water,,1,1,EPA 6010-A
Potassium,mg/l,,USDOI/USGS O-3120-90,"1,2-Dibromomethane (EDB) and 1,2-dibromo-3-chloropropane (DBCP) in Water by Gas Chromatography",,-1000000,-1000000,methods_fail
Potassium,mg/l,,USEPA 200,Metals by Atomic Absorption,,1,1,EPA 200
Potassium,mg/l,,USEPA 200.7,Metals in Water by ICP-AES,,1,1,EPA 200.7
Potassium,mg/l,,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,,1,1,EPA 200.7
Potassium,mg/l,,USEPA 200.7(W),,,1,1,EPA 200.7
Potassium,mg/l,,USEPA 200.7_M,200.7 M ~ ICP-AES For Trace Element Analysis,,1,1,EPA 200.7
Potassium,mg/l,,USEPA 200.8,Metals in Waters by ICP/MS,,1,1,EPA 200.8
Potassium,mg/l,,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,,1,1,EPA 200.8
Potassium,mg/l,,USEPA 258.1,Potassium by FLAA,,1,1,EPA 258.1
Potassium,mg/l,,USEPA 258.1,,,1,1,EPA 258.1
Potassium,mg/l,,USEPA 6010A,6010 A ~ ICP Spectroscopy,,1,1,EPA 6010-A
Potassium,mg/l,,USEPA 6010A,,,1,1,EPA 6010-A
Potassium,mg/l,,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,,1,1,EPA 6010 B
Potassium,mg/l,,USEPA 6010C,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),,1,1,EPA 6010 C
Potassium,mg/l,,USEPA 6020,Inductively Coupled Plasma - Mass Spec.,,1,1,EPA 6020
Potassium,mg/l,,USEPA 6020A,6020 A ~ ICP-MS,,1,1,EPA 6020-A
Potassium,mg/l,,USEPA 6020B,"6020 B ~ Inductively Coupled Plasma - Mass Spectrometry, part of Test Methods for Evaluating Solid Waste",,1,1,EPA 6020-B
Potassium,mg/l,,USEPA 7610,Potassium by FLAA,,1,1,EPA 7610
Potassium,mg/l,,USGS AA030,"Potassium, wf, direct AAS (NWQL)",935,1,1,USGS_00935
Potassium,mg/l,,USGS AA031,"Potassium, LL, wf, direct AAS",935,1,1,USGS_00935
Potassium,mg/l,,USGS PL125,"Elements, wf, ICP/OES (USGS-NYL)",935,1,1,USGS_00935
Potassium,mg/l,,USGS PL127,"Elements, wf, ICP/OES (USGS-NYL)",935,1,1,USGS_00935
Potassium,mg/l,,USGS PLA03,"Elements, wf, ICP-AES w/o digest",935,1,1,USGS_00935
Potassium,mg/l,,USGS PLO02,"Potassium, LL, wf, by ICP-OES",935,1,1,USGS_00935
Potassium,mg/l,,USGS PLO03,"Potassium, wf, by ICP-OES",935,1,1,USGS_00935
Potassium,mg/l,,UTAHDWQ_WQX GENERIC METHOD2,Used for half of methods where historical methodology may not be available.,,1,1,methods_WQX
Potassium,mg/l,,UTAHDWQ_WQX UNKNOWN,UNKNOWN,,1,1,methods_WQX
Potassium,ppm,,11NPSWRD_WQX NPS_NURE_OR13,Oak Ridge Emission Spectrochemical Analysis of Waters for Selected Parameters,,1,1,methods_WQX
Potassium,ppm,,NA NA,,,1,1,methods_unknown
Potassium,ppm,,USEPA 200.7,Metals in Water by ICP-AES,,1,1,EPA 200.7
Potassium,ueq/L,,NA NA,,83131,-1000000,-1000000,methods_fail; atmospheric deposition method
Potassium,ueq/L,,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,,0.03909,0.03909,EPA 6010-B
Potassium,ug/l,ug/l,AZDEQ_SW EPA 200.8,EPA 200.8,,0.001,0.001,EPA 200.8
